,en,ru,pl,be,uk,bg,sl,cs
754," Due to the above history, [???] is often said to consist of two branches not in mutual regular amity:"," Из-за вышеизложенной истории часто говорят, что [m] состоит из двух ветвей, не находящихся в регулярной дружбе:"," Ze względu na powyższą historię często mówi się, że [m] składa się z dwóch gałęzi nie będących we wzajemnej regularnej przyjaźni:"," З прычыны вышэйзгаданай гісторыі, [m] часта складаецца з двух філіялаў, якія не знаходзяцца ў рэгулярнай узаемнай дружбе:"," Через вищенаведену історію часто кажуть, що [m] складається з двох філій, які не перебувають у взаємній регулярній дружбі:"," Поради горната история, [m] често се казва, че се състои от два клона, които не са в редовна взаимна дружба:"," Zaradi zgornje zgodovine se pogosto reče, da je [m] sestavljen iz dveh vej, ki nista v medsebojnem rednem prijateljstvu:"," Vzhledem k výše uvedené historii se o ""[n]"" často říká, že se skládá ze dvou větví, které nejsou ve vzájemném pravidelném přátelství:"
755," While [???] has often been called a "" secret society "", [???] themselves argue that it is more correct to say that it is an esoteric society, in that certain aspects are private."," Хотя [pl] часто называют «тайным обществом», сами [pl] утверждают, что правильнее сказать, что это эзотерическое общество, поскольку некоторые аспекты являются частными."," Podczas gdy [pl] są często nazywane „tajnym stowarzyszeniem”, [pl] same twierdzą, że bardziej poprawne jest stwierdzenie, że jest to społeczeństwo ezoteryczne, ponieważ pewne aspekty są prywatne."," У той час як [pl] часта называлі «таемным грамадствам», самі [pl] сцвярджаюць, што больш правільна сказаць, што гэта эзатэрычнае грамадства, паколькі некаторыя аспекты з'яўляюцца прыватнымі."," Хоча [pl] часто називають «таємним суспільством», самі [pl] стверджують, що правильніше сказати, що це езотеричне суспільство, оскільки деякі аспекти є приватними."," Докато [pl] често са наричани „тайно общество“, самите [pl] твърдят, че е по-правилно да се каже, че това е езотерично общество, тъй като някои аспекти са частни."," Medtem ko se [pl] pogosto imenuje ""skrivna družba"", [pl] sama trdijo, da je pravilneje reči, da gre za ezoterično družbo, saj so nekateri vidiki zasebni."," Zatímco [pl] byly často nazývány „tajnou společností“, [pl] samy argumentují, že je správnější říci, že jde o esoterickou společnost, protože určité aspekty jsou soukromé."
756," The most common phrasing being that [???] has, in the 21st century, become less a secret society and more of a "" society with secrets ""."," Наиболее распространенная формулировка заключается в том, что [m] в 21 веке стал не столько тайным обществом, сколько «обществом с секретами»."," Najpopularniejszym sformułowaniem jest to, że [m] w XXI wieku stał się mniej tajnym stowarzyszeniem, a bardziej „społeczeństwem z tajemnicami”."," Найбольш распаўсюджаная фармулёўка заключаецца ў тым, што [m] у 21-м стагоддзі стаў менш таемным таварыствам, а больш «грамадствам з сакрэтамі»."," Найпоширеніша формулювання полягає в тому, що [m] у 21 столітті став менш таємним товариством, а більше «суспільством із секретами»."," Най-често срещаната фраза е, че [m] през 21-ви век се е превърнал по-малко в тайно общество, а повече в „общество с тайни“."," Najpogostejša fraza je, da je [m] v 21. stoletju postal manj tajna družba in bolj ""družba s skrivnostmi""."," Nejběžnější fráze je, že [m] se v 21. století stal méně tajnou společností a více „společností s tajemstvími“."
757, The private aspects of modern [???] are the modes of recognition amongst members and particular elements within the ritual.," Частные аспекты современных ""[pl]"" — это способы признания среди членов и определенные элементы ритуала.", Prywatne aspekty nowoczesnych [firm] to sposoby rozpoznawania wśród członków i poszczególne elementy rytuału.," Прыватныя аспекты сучасных ""[n]"" - гэта спосабы распазнавання членаў і асобныя элементы рытуалу."," Особистими аспектами сучасних ""[n]"" є способи розпізнавання серед членів і окремі елементи в ритуалі.", Частните аспекти на съвременните [pl] са начините на разпознаване сред членовете и определени елементи в рамките на ритуала.," Zasebni vidiki sodobnih ""[n]"" so načini prepoznavanja med člani in posamezni elementi v ritualu."," Soukromé aspekty moderních ""[n]"" jsou způsoby uznání mezi členy a konkrétní prvky v rámci rituálu."
758, [???] conduct their meetings using a ritualised format., [pl] проводят свои встречи в ритуализированном формате., [pl] prowadzą swoje spotkania w zrytualizowanym formacie., [pl] праводзяць свае сустрэчы ў рытуалізаваным фармаце., [pl] проводять свої зустрічі у ритуальному форматі.," [pl] провеждат срещите си, използвайки ритуализиран формат.", [pl] svoje sestanke izvajajo v ritualizirani obliki., [pl] vedou svá setkání v ritualizovaném formátu.
759," [???] use signs ( gestures), grips or tokens ( handshakes) and words to gain admission to meetings and identify legitimate visitors."," [m] использует знаки (жесты), захваты или жетоны (рукопожатия) и слова, чтобы получить доступ на собрания и идентифицировать законных посетителей."," [m] używa znaków (gesty), uchwytów lub żetonów (uściski dłoni) i słów, aby uzyskać wstęp na spotkania i zidentyfikować legalnych gości."," [m] выкарыстоўвае знакі (жэсты), ручкі або жэтоны (поцісканні рукі) і словы, каб атрымаць допуск на сустрэчы і ідэнтыфікаваць законных наведвальнікаў."," [m] використовує знаки (жести), захвати або жетони (рукостискання) і слова, щоб отримати доступ до зустрічей та ідентифікувати законних відвідувачів."," [m] използва знаци (жестове), хватки или знаци (ръкостискания) и думи, за да получи достъп до срещи и да идентифицира легитимните посетители."," [m] uporablja znake (kretnje), prijeme ali žetone (stiski rok) in besede za pridobitev vstopa na sestanke in prepoznavanje zakonitih obiskovalcev."," [m] používat znaky (gesta), chvaty nebo žetony (potřesení rukou) a slova k získání přístupu na schůzky a identifikaci legitimních návštěvníků."
760," Contrary to common misconception, joining [???] is not by invitation only."," Вопреки распространенному заблуждению, вступить в [m] можно не только по приглашению."," Wbrew powszechnemu przekonaniu, dołączenie do ""[n]"" nie odbywa się wyłącznie na zaproszenie."," Насуперак распаўсюджанаму зману, уступленне ў [m] адбываецца не толькі па запрашэнні."," Всупереч поширеній помилковій думці, вступ до ""[n]"" здійснюється не лише за запрошенням."," Противно на общоприетото погрешно схващане, присъединяването към [m] не става само с покана."," V nasprotju s splošnim napačnim prepričanjem se v ""[n]"" ne pridružite samo s povabilom."," Na rozdíl od běžné mylné představy, vstup do ""[n]"" není pouze pozváním."
761," However the initial introduction is made, the official process of becoming a [???] begins when a candidate for [???] formally petitions a lodge."," Как бы ни было сделано первоначальное представление, официальный процесс становления ""[n]"" начинается, когда кандидат в [n] официально подает прошение в ложу."," Jakkolwiek zostanie dokonane wstępne wprowadzenie, oficjalny proces stawania się ""[n]"" rozpoczyna się, gdy kandydat do ""[n]"" formalnie złoży wniosek do loży."," Нягледзячы на ​​тое, што першапачатковае ўвядзенне зроблена, афіцыйны працэс станаўлення [pl] пачынаецца, калі кандыдат у ""[n]"" афіцыйна падае хадайніцтва ў ложу."," Незважаючи на те, що початковий вступ зроблено, офіційний процес становлення [pl] починається, коли кандидат у [n] офіційно подає петицію на ложу."," Въпреки това първоначалното въведение е направено, официалният процес на превръщане в [n] започва, когато кандидат за [n] официално подаде петиция за ложа."," Ne glede na to, kako je prvotno predstavljeno, se uradni proces postajanja ""[n]"" začne, ko kandidat za [n] uradno vloži peticijo za ložo."," Ať už je úvodní úvod proveden jakkoli, oficiální proces stát se ""[n]"" začíná, když kandidát na [f] formálně požádá o lóži."
762," Regular [???] has in its core ritual a formal obligation: to be quiet and peaceable citizens, true to the lawful government of the country in which they live, and not to countenance disloyalty or rebellion."," В основе регулярного ""[m]"" лежит формальное обязательство: быть тихими и миролюбивыми гражданами, верными законному правительству страны, в которой они живут, и не одобрять нелояльность или бунт."," Zwykły [m] ma w swoim podstawowym rytuale formalny obowiązek: być cichymi i pokojowo nastawionymi obywatelami, wiernymi prawowitemu rządowi kraju, w którym żyją, i nie tolerować nielojalności lub buntu."," Рэгулярны [m] мае ў сваім асноўным рытуале фармальны абавязак: быць ціхімі і міралюбівымі грамадзянамі, вернымі законнаму ўраду краіны, у якой яны жывуць, і не цярпець нелаяльнасць або бунт."," Регулярний [m] має за своїм основним ритуалом формальний обов’язок: бути тихими та миролюбними громадянами, вірними законному уряду країни, в якій вони живуть, і не терпіти нелояльності чи бунту."," Обикновеният [m] има в основния си ритуал официално задължение: да бъдат тихи и мирни граждани, верни на законното правителство на страната, в която живеят, и да не се противопоставят на нелоялност или бунт."," Redni [m] ima v svojem osrednjem ritualu formalno obveznost: biti tihi in miroljubni državljani, zvesti zakoniti vladi države, v kateri živijo, in se ne soočati z nelojalnostjo ali uporom."," Řádný [m] má ve svém základním rituálu formální povinnost: být tichými a mírumilovnými občany, věrnými zákonné vládě země, ve které žijí, a nestát neloajalitu nebo vzpouru."
763," Even in modern democracies, [???] is sometimes viewed with distrust."," Даже в современных демократиях к ""[n]"" иногда относятся с недоверием.", Nawet we współczesnych demokracjach [m] jest czasami postrzegany z nieufnością.," Нават у сучасных дэмакратычных краінах да ""[m]"" часам глядзяць з недаверам."," Навіть у сучасних демократіях до ""[n]"" інколи ставляться з недовірою."," Дори в съвременните демокрации на ""[m]"" понякога се гледа с недоверие.", Tudi v sodobnih demokracijah se na [m] včasih gleda z nezaupanjem., Dokonce i v moderních demokraciích je [m] někdy vnímán s nedůvěrou.
764, The last 13 games saw [???] win 9 and draw 2 to reach safety.," В последних 13 играх [n] выиграло 9 и сыграло вничью 2, чтобы выйти в безопасное место."," W ostatnich 13 meczach [n] wygrało 9 i zremisowało 2, aby osiągnąć bezpieczeństwo."," У апошніх 13 гульнях ""[n]"" выйграла 9 і 2 выйграла ўнічыю, каб дасягнуць бяспекі."," В останніх 13 іграх [n] виграло 9 і 2 перемогло внічию, щоб досягти безпеки."," В последните 13 игри [n] спечели 9 и равенство 2, за да достигне безопасност."," V zadnjih 13 igrah je [f] zmagala 9 in 2 remizirala, da bi dosegla varnost."," V posledních 13 zápasech [f] vyhrála 9 a remizovala 2, aby dosáhla bezpečí."
765," [???] have so far had 29 managers at the club in 102 years, meaning that the average length of service for a [???] manager is 3 years and 189 days."," [m] до сих пор имел 29 менеджеров в клубе за 102 года, а это означает, что средний стаж работы для ""[m]"" менеджера составляет 3 года и 189 дней."," [m] do tej pory miał 29 menedżerów w klubie w ciągu 102 lat, co oznacza, że ​​średni staż pracy dla menedżera ""[n]"" wynosi 3 lata i 189 dni."," [m] да гэтага часу меў 29 мэнэджэраў у клубе за 102 гады, а гэта значыць, што сярэдні стаж мэнэджэра ""[m]"" складае 3 гады і 189 дзён."," [m] наразі мав 29 менеджерів у клубі за 102 роки, тобто середній стаж роботи менеджера ""[n]"" становить 3 роки і 189 днів."," [m] досега е имал 29 мениджъри в клуба за 102 години, което означава, че средният стаж за мениджър на ""[m]"" е 3 години и 189 дни."," [m] je imel doslej v klubu 29 menedžerjev v 102 letih, kar pomeni, da je povprečna delovna doba za menedžerja ""[n]"" 3 leta in 189 dni."," [m] měl dosud v klubu 29 manažerů za 102 let, což znamená, že průměrná délka služby manažera ""[n]"" je 3 roky a 189 dní."
766," [???] has tended to date ( May 2006) to keep all images of the band absent from their remix artwork, and this absence has tended on the whole to extend to the content and spirit of their reissued product."," [pl] до настоящего времени (май 2006 г.) имели тенденцию отсутствовать все изображения группы в своих ремиксах, и это отсутствие в целом имело тенденцию распространяться на содержание и дух их переизданного продукта."," [pl] do tej pory (maj 2006) nie było żadnych zdjęć zespołu w ich remiksach, a ta nieobecność generalnie rozciągała się na treść i ducha ich wznowionego produktu."," [pl] да сённяшняга дня (травень 2006 г.) не дапускалі ўсіх вобразаў гурта ў іх рэміксаў, і гэта адсутнасць у цэлым распаўсюджвалася на змест і дух іх перавыдадзенага прадукту."," [pl] до теперішнього часу (травень 2006 р.) намагалися утримувати всі зображення гурту відсутніми в їхніх реміксах, і ця відсутність загалом поширювалася на зміст і дух їхнього перевиданого продукту.", [pl] са имали тенденция към днешна дата (май 2006 г.) да отсъстват всички изображения на групата от техните ремикс артикули и това отсъствие като цяло се разпростира върху съдържанието и духа на техния преиздаден продукт.," [pl] so se do danes (maj 2006) trudila, da so vse slike skupine odsotne v njihovih remiksih umetniških del, in ta odsotnost se je v celoti razširila na vsebino in duh njihovega ponovno izdanega izdelka.", [pl] do dnešního dne (květen 2006) nechávaly všechny obrázky skupiny nepřítomné v jejich remixové předloze a tato absence měla tendenci se celkově rozšířit na obsah a ducha jejich znovu vydaného produktu.
767, [???] sells overseas rights separately from the domestic contract., [n] продает зарубежные права отдельно от внутреннего контракта., [n] sprzedaje prawa zagraniczne niezależnie od umowy krajowej., [pl] прадае правы за мяжой асобна ад унутранага кантракту., [n] продає права за кордоном окремо від внутрішнього контракту., [n] продава задгранични права отделно от вътрешния договор., [f] prodaja v tujini pravice ločeno od domače pogodbe., [f] prodává zahraniční práva odděleně od tuzemské smlouvy.
768, All of the numbers retired by the [???] are red on a white circle.," Все номера, выведенные из эксплуатации ""[n]"", выделены красным на белом круге.", Wszystkie numery wycofane przez [pl] są czerwone na białym kółku.," Усе лічбы, выведзеныя ""[n]"" на пенсію, пазначаны чырвонымі на белым крузе."," Усі цифри, вилучені ""[n]"", червоні на білому колі.", Всички оттеглени от [pl] числа са червени в бял кръг.," Vse številke, ki so jih [pl] umaknila, so rdeče na belem krogu."," Všechna čísla vyřazená ""[n]"" jsou červená na bílém kruhu."
769, [???] recognize and license unordained persons for particular ministries., [m] признает и лицензирует нерукоположенных лиц для определенных служений., [m] uznają i licencjonują osoby nie wyświęcone do poszczególnych ministerstw., [m] прызнаюць і ліцэнзуюць непасвячоных асоб для асобных міністэрстваў., [m] визнають і ліцензують невисвячених осіб для окремих міністерств., [m] разпознава и лицензира неръкоположени лица за определени министерства., [m] priznava in licencira nepooblaščene osebe za posamezna ministrstva., [m] uznávat a licencovat neordinované osoby pro jednotlivá ministerstva.
770, Floorball at the [???] is slightly modified from the ' regular ' form of floorball.," Флорбол в ""[n]"" немного отличается от «обычной» формы флорбола."," Unihokej w ""[n]"" jest nieco zmodyfikowany w stosunku do „zwykłej” formy unihokeja."," Флорбол у ""[n]"" крыху зменены з «звычайнай» формы флорбола."," Флорбол у ""[n]"" дещо змінений від «звичайної» форми флорболу.", Флорболът в [n] е леко модифициран от „обикновената“ форма на флорбол.," Floorball v ""[n]"" je nekoliko spremenjen od 'navadne' oblike floorballa.", Florbal u [pl] je mírně pozměněn od „běžné“ formy florbalu.
771, [???] and [???] have agreed to jointly pay £ 84.3 million for delayed television rights to 242 games ( that is the right to broadcast them in full on television and over the internet) in most cases for a period of 50 hours after 10 pm on matchday.," [m] и [m] договорились совместно выплатить 84,3 миллиона фунтов стерлингов за отсроченные телевизионные права на 242 игры (то есть право транслировать их полностью по телевидению и через Интернет) в большинстве случаев в течение 50 часов после 10 вечера в день матча."," [m] i [m] uzgodniły, że wspólnie zapłacą 84,3 miliona funtów za opóźnione prawa telewizyjne do 242 meczów (czyli prawo do ich pełnej transmisji w telewizji i przez Internet) w większości przypadków przez okres 50 godzin po 10 godzinach. wieczorem w dniu meczu."," [m] і [m] пагадзіліся сумесна выплаціць 84,3 мільёна фунтаў стэрлінгаў за адтэрмінаваныя тэлевізійныя правы на 242 гульні (гэта значыць права на іх поўную трансляцыю па тэлебачанні і праз Інтэрнэт) у большасці выпадкаў на працягу 50 гадзін пасля 10 вечара ў дзень тура."," [m] і [m] погодилися спільно виплатити 84,3 мільйона фунтів стерлінгів за відкладені телевізійні права на 242 ігри (тобто право на їх повну трансляцію на телебаченні та в Інтернеті) у більшості випадків протягом 50 годин після 10 вечора в матчі."," [m] и [m] се договориха да платят съвместно £84,3 милиона за забавени телевизионни права за 242 игри (това е правото да ги излъчват изцяло по телевизията и по интернет) в повечето случаи за период от 50 часа след 10 следобед в мача."," [m] in [m] sta se dogovorila, da bosta skupaj plačala 84,3 milijona funtov za odložene televizijske pravice do 242 iger (to je pravica, da jih v celoti predvajajo na televiziji in po internetu) v večini primerov za obdobje 50 ur po 10. popoldan na tekmo."," [m] a [m] se dohodly, že společně zaplatí 84,3 milionu GBP za zpožděná televizní práva na 242 her (to je právo na jejich plné vysílání v televizi a přes internet) ve většině případů po dobu 50 hodin po 10. odpoledne v den zápasu."
772, [???] has faced difficulty fighting internet copyright infringement., [m] столкнулся с трудностями в борьбе с нарушением авторских прав в Интернете., [m] napotkał trudności w walce z naruszeniem praw autorskich w Internecie., [m] сутыкнуўся з цяжкасцямі ў барацьбе з парушэннем аўтарскіх правоў у Інтэрнэце., [m] зіткнувся з труднощами в боротьбі з порушенням авторських прав в Інтернеті., [m] се сблъска с трудности в борбата с нарушаването на авторски права в интернет., [m] se je soočil s težavami v boju proti internetnim kršitvam avtorskih pravic., [m] čelí potížím s porušováním autorských práv na internetu.
773," [???] describes itself as the party of the "" progressive centre "", with core values focussed on fiscal rectitude, free enterprise and reward, individual rights and responsibilities."," [f] описывает себя как партию «прогрессивного центра», основные ценности которой сосредоточены на финансовой справедливости, свободе предпринимательства и вознаграждении, индивидуальных правах и обязанностях."," [f] określa się jako partia „centrum postępu”, z podstawowymi wartościami skupionymi na poprawności fiskalnej, wolnej przedsiębiorczości i wynagrodzeniu, indywidualnych prawach i obowiązkach."," [f] апісвае сябе як партыю «прагрэсіўнага цэнтра», з асноўнымі каштоўнасцямі, засяроджанымі на правільнасці фінансавання, свабоды прадпрымальніцтва і ўзнагароджання, індывідуальных правоў і абавязкаў."," [f] описує себе як партію «прогресивного центру», з основними цінностями, зосередженими на фіскальній справедливості, вільному підприємництві та винагороді, індивідуальних правах та обов’язках."," [f] се описва като партия на ""прогресивния център"", с основни ценности, фокусирани върху фискалната коректност, свободното предприемачество и възнаграждение, индивидуалните права и отговорности."," [n] sebe opisuje kot stranko ""progresivnega centra"", s temeljnimi vrednotami, osredotočenimi na fiskalno pravilnost, svobodno podjetništvo in nagrajevanje, pravice in odgovornosti posameznika."," [f] sama sebe popisuje jako stranu „progresivního středu“, se základními hodnotami zaměřenými na fiskální poctivost, svobodné podnikání a odměnu, práva a povinnosti jednotlivců."
774," [???] has, since its inception, portrayed itself as a party of fiscal rectitude and minimal government interference in economics, advocating pro-enterprise policies."," [f] с момента своего основания изображала себя партией фискальной честности и минимального вмешательства государства в экономику, выступая за политику в интересах предприятий."," [f] od samego początku przedstawiała się jako strona fiskalnej uczciwości i minimalnej ingerencji rządu w ekonomię, opowiadająca się za polityką proprzedsiębiorczą."," [f] з моманту свайго заснавання адлюстроўвала сябе як партыю фіскальнай сумленнасці і мінімальнага ўмяшання дзяржавы ў эканоміку, прапагандуючы палітыку, якая спрыяе прадпрымальніцтву."," [f] з моменту свого заснування представляла себе як партію фіскальної справедливості та мінімального державного втручання в економіку, виступаючи за політику, яка підтримує підприємництво."," [f], от самото си създаване, се представя като партия на фискална коректност и минимална правителствена намеса в икономиката, застъпваща про-предприятията политики."," [n] se je že od svojega začetka predstavljalo kot stranko fiskalne korektnosti in minimalnega vmešavanja države v gospodarstvo, ki zagovarja politiko, ki podpira podjetništvo."," [f] se od svého založení vykreslovala jako strana fiskální poctivosti a minimálních vládních zásahů do ekonomiky, která obhajuje propodnikatelskou politiku."
775, [???] has been traditionally conservative in social matters for most of the twentieth century., [m] был традиционно консервативен в социальных вопросах на протяжении большей части двадцатого века., [m] był tradycyjnie konserwatywny w sprawach społecznych przez większość XX wieku., [m] быў традыцыйна кансерватыўным у сацыяльных пытаннях на працягу большай часткі дваццатага стагоддзя., [m] був традиційно консервативним у соціальних питаннях протягом більшої частини двадцятого століття., [m] е традиционно консервативен по отношение на социалните въпроси през по-голямата част от двадесети век., [m] je bil večino dvajsetega stoletja tradicionalno konzervativen v družbenih zadevah., [m] byl po většinu dvacátého století v sociálních záležitostech tradičně konzervativní.
776," [???] has 4,000 members nationwide.", [n] насчитывает 4000 членов по всей стране., [n] liczy 4000 członków w całym kraju., [pl] налічвае 4000 членаў па ўсёй краіне., [n] налічує 4000 членів по всій країні., [n] има 4000 членове в цялата страна., [n] ima 4000 članov po vsej državi., [f] má 4000 členů po celé zemi.
777," [???] is led by its national executive consisting of eleven members elected on a regional basis, and on a national panel."," [m] возглавляет его национальный исполнительный орган, состоящий из одиннадцати членов, избираемых на региональной основе и в национальной комиссии.", [m] jest kierowany przez krajowy organ wykonawczy składający się z jedenastu członków wybieranych na szczeblu regionalnym oraz z panelu krajowego.," [m] узначальвае яго нацыянальная выканаўчая ўлада, якая складаецца з адзінаццаці членаў, абраных на рэгіянальнай аснове, і на нацыянальнай камісіі."," [m] очолює його національна виконавча влада, яка складається з одинадцяти членів, обраних на регіональній основі та на національній групі."," [m] се ръководи от националната си изпълнителна власт, състояща се от единадесет членове, избрани на регионална основа и на национален комитет."," [m] vodi njegov nacionalni izvršni organ, ki ga sestavlja enajst članov, izvoljenih na regionalni osnovi, in v nacionalni svet.", [m] vede jeho národní exekutiva sestávající z jedenácti členů volených na regionálním základě a v celostátním panelu.
778, No [???] has ever hit for the cycle in history., Ни один [m] никогда не попадал в цикл в истории., Żaden [m] nigdy nie trafił do cyklu w historii., Ні адзін [m] ніколі не трапляў у цыкл у гісторыі., Жоден [m] ніколи не потрапив у цикл в історії., Никой [m] не е попадал в цикъла в историята., Noben [m] v zgodovini še ni zadel za cikel., Žádný [m] nikdy v historii nezasáhl do cyklu.
779, [???] is expected to make $ 200 million in license fees and advertising from the deal.,"Ожидается, что [n] заработает на сделке 200 миллионов долларов на лицензионных сборах и рекламе.","Oczekuje się, że [n] zarobi 200 milionów dolarów na opłatach licencyjnych i reklamach z tej transakcji.","Чакаецца, што ""[n]"" атрымае ад здзелкі 200 мільёнаў долараў ліцэнзійных збораў і рэкламы.","Очікується, що [n] отримає від угоди 200 мільйонів доларів на ліцензійні збори та рекламу.",[n] се очаква да спечели 200 милиона долара лицензионни такси и реклама от сделката.,[f] naj bi s tem poslom zaslužila 200 milijonov dolarjev licenčnin in oglaševanja.,"Očekává se, že [f] z dohody vydělá 200 milionů dolarů na licenčních poplatcích a reklamě."
780," For each tournament, [???] decides the number of places awarded to each of the continental zones beforehand, generally based on the relative strength of the confederations ' teams."," Для каждого турнира [m] заранее определяет количество мест, присуждаемых каждой из континентальных зон, как правило, исходя из относительной силы команд конфедераций."," Dla każdego turnieju [m] decyduje wcześniej o liczbie miejsc przyznanych każdej ze stref kontynentalnych, generalnie w oparciu o względną siłę drużyn konfederacji."," Для кожнага турніру [m] загадзя вызначае колькасць месцаў, прысуджаных кожнай з кантынентальных зон, звычайна на аснове адноснай сілы каманд канфедэрацый."," Для кожного турніру [m] заздалегідь визначає кількість місць, присуджених кожній із континентальних зон, як правило, на основі відносної сили команд конфедерацій."," За всеки турнир [m] предварително решава броя на местата, присъдени на всяка от континенталните зони, обикновено въз основа на относителната сила на отборите на конфедерациите."," Za vsak turnir [m] vnaprej določi število mest, dodeljenih vsaki od celinskih con, na splošno na podlagi relativne moči ekip konfederacij."," Pro každý turnaj [m] předem rozhodne o počtu míst udělených každé z kontinentálních zón, obecně na základě relativní síly týmů konfederací."
781," After this, a [???] designated group of inspectors visit the country to identify that the country meets the requirements needed to host the event and a report on the country is produced."," После этого назначенная ""[n]"" группа инспекторов посещает страну, чтобы определить, соответствует ли страна требованиям, необходимым для проведения мероприятия, и составляется отчет о стране."," Następnie wyznaczona przez [m] grupa inspektorów odwiedza dany kraj, aby stwierdzić, czy kraj ten spełnia wymagania niezbędne do zorganizowania imprezy, i sporządzany jest raport na temat kraju."," Пасля гэтага ""[n]"" група інспектараў наведвае краіну, каб вызначыць, што краіна адпавядае патрабаванням, неабходным для правядзення мерапрыемства, і складаецца справаздача аб краіне."," Після цього призначена ""[n]"" група інспекторів відвідує країну, щоб визначити, що країна відповідає вимогам, необхідним для проведення заходу, і складається звіт про країну."," След това определена от ""[m]"" група от инспектори посещават страната, за да установят, че страната отговаря на изискванията, необходими за домакинство на събитието, и се изготвя доклад за страната."," Po tem ""[n]"" določena skupina inšpektorjev obišče državo, da ugotovi, ali država izpolnjuje zahteve, potrebne za gostitev dogodka, in sestavi se poročilo o državi."," Poté ""[n]"" určená skupina inspektorů navštíví zemi, aby zjistila, že země splňuje požadavky potřebné k pořádání akce, a o zemi je vypracována zpráva."
782, A June 2006 study by the [???] has cast doubt on the safety of genital cutting of any kind.," Исследование, проведенное ""[n]"" в июне 2006 года, поставило под сомнение безопасность любого вида обрезания гениталий.", Badania przeprowadzone przez [n] z czerwca 2006 r. podały w wątpliwość bezpieczeństwo wszelkiego rodzaju obcinania narządów płciowych.," Даследаванне ""[n]"" у чэрвені 2006 года паставіла пад сумнеў бяспеку рэзання геніталій любога роду.", Дослідження [pl] у червні 2006 року поставило під сумнів безпеку будь-якого обрізання геніталій., Проучване на [n] от юни 2006 г. постави под съмнение безопасността на всякакъв вид порязване на гениталиите.," Študija ""[n]"" iz junija 2006 je vzbudila dvom o varnosti kakršnega koli rezanja genitalij.", Studie [pl] z června 2006 zpochybnila bezpečnost jakéhokoli řezání genitálií.
783," The feelies pioneered by text adventure company [???] include many examples, such as blueprints, maps, documents, and publications designed within the context of each game 's fictional setting."," Ощущения, разработанные компанией [m] текстовых приключений, включают множество примеров, таких как чертежи, карты, документы и публикации, разработанные в контексте вымышленного сеттинга каждой игры."," Feelies zapoczątkowany przez firmę [m] zajmującą się przygodami tekstowymi zawiera wiele przykładów, takich jak plany, mapy, dokumenty i publikacje zaprojektowane w kontekście fikcyjnej scenerii każdej gry."," Феліі, якія былі ўведзеныя ў тэкставыя прыгодніцкія кампаніі [m], уключаюць у сябе мноства прыкладаў, такіх як чарцяжы, карты, дакументы і публікацыі, распрацаваныя ў кантэксце выдуманай абстаноўкі кожнай гульні."," Феллі, започатковані компанією [m] із текстових пригод, включають багато прикладів, таких як креслення, карти, документи та публікації, розроблені в контексті вигаданого середовища кожної гри."," Чувствата, създадени от компанията за текстови приключения [m], включват много примери, като чертежи, карти, документи и публикации, създадени в контекста на измислената обстановка на всяка игра."," Občutki, ki jih je uvedlo podjetje za besedilne pustolovščine [m], vključujejo številne primere, kot so načrti, zemljevidi, dokumenti in publikacije, oblikovane v okviru izmišljenega okolja vsake igre."," Feelies propagované společností textových adventur [m] zahrnují mnoho příkladů, jako jsou plány, mapy, dokumenty a publikace navržené v kontextu fiktivního prostředí každé hry."
