,pl,be,uk,ru,bg,sl,cs,en
804,Juneau,Джуна,Джуно,Джуно,Джуно,Juneau,Juneau,Juneau
805,Phoenix,Фінікс,Фінікс,Финикс,Финикс,Phoenix,Phoenix,Phoenix
806,Denver,Дэнвер,Денвер,Денвер,Денвър,Denver,Denver,Denver
807,Richmond,Рычманд,Ричмонд,Ричмонд,Ричмънд,Richmond,Richmond,Richmond
808,Brunszwik,Браўншвайг,Брауншвейг,Брауншвейг,Брауншвайг,Braunschweig,Braunschweig,Braunschweig
809,Getynga,Гётынген,Геттінген,Гёттинген,Гьотинген,Göttingen,Göttingen,Göttingen
810,Osasco,Азаску,Озаску,Озаску,Озаско,Osasco,Osasco,Osasco
811,Oviedo,Аўеда,Ов'єдо,Овьедо,Овиедо,Oviedo,Oviedo,Oviedo
812,Machu Picchu,Мачу-Пікчу,Мачу-Пікчу,Мачу-Пикчу,Мачу Пикчу,Machu Picchu,Machu Picchu,Machu Picchu
813,Petra,Петра,Петра,Петра,Петра,Petra,Petra,Petra
814,Pitcairn,Астравы Піткэрн,Піткерн,Острова Питкэрн,Питкерн,Pitcairnovi otoki,Pitcairnovy ostrovy,Pitcairn Islands
815,Brytyjskie Terytorium Oceanu Indyjskiego,Брытанская тэрыторыя ў Індыйскім акіяне,Британська Територія в Індійському Океані,Британская Территория в Индийском Океане,Британска индоокеанска територия,Britansko ozemlje v Indijskem oceanu,Britské indickooceánské území,British Indian Ocean Territory
816,Pampeluna,Памплона,Памплона,Памплона,Памплона,Pamplona,Pamplona,Pamplona
817,Sziraz,Шыраз,Шираз,Шираз,Шираз,Širaz,Šíráz,Shiraz
818,Liège,Льеж,Льєж,Льеж,Лиеж,Liège,Lutych,Liège
819,Lozanna,Лазана,Лозанна,Лозанна,Лозана,Lozana,Lausanne,Lausanne
820,Zug,Цуг,Цуг,Цуг,Цуг,Zug,Zug,Zug
821,Aarau,Аарау,Аарау,Арау,Аарау,Aarau,Aarau,Aarau
822,Fryburg,Фрыбур,Фрібур,Фрибур,Фрибур,Fribourg,Fribourg,Fribourg
823,Frauenfeld,Фраўэнфельд,Фрауенфельд,Фрауэнфельд,Фрауенфелд,Frauenfeld,Frauenfeld,Frauenfeld
824,Brytyjskie Wyspy Dziewicze,Брытанскія Віргінскія астравы,Британські Віргінські Острови,Виргинские Острова,Британски Вирджински острови,Britanski Deviški otoki,Britské Panenské ostrovy,British Virgin Islands
825,Georgia Południowa i Sandwich Południowy,Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы,Південна Джорджія і Південні Сандвічеві Острови,Южная Георгия и Южные Сандвичевы Острова,Южна Джорджия и Южни Сандвичеви острови,Južna Georgija in Južni Sandwichevi otoki,Jižní Georgie a Jižní Sandwichovy ostrovy,South Georgia and the South Sandwich Islands
826,Glarus,Гларус,Гларус,Гларус,Гларус,Glarus,Glarus,Glarus
827,Chur,Кур,Кур,Кур,Кур,Chur,Chur,Kur
828,Stans,Штанс,Штанс,Штанс,Щанс,Stans,Stans,Stans
829,Jassy,Ясы,Ясси,Яссы,Яш,Iași,Jasy,Iași
830,Bellinzona,Белінцона,Беллінцона,Беллинцона,Белинцона,Bellinzona,Bellinzona,Bellinzona
831,Wormacja,Вормс,Вормс,Вормс,Вормс,Worms,Worms,Worms
832,Susa,Сус,Сус,Сус,Сус,Sousse,Súsa,Sousse
833,Majuro,Маджура,Маджуро,Маджуро,Маджуро,Majuro,Majuro,Majuro
834,Wyspy Marshalla,Маршалавы Астравы,Маршаллові Острови,Маршалловы Острова,Маршалови острови,Marshallovi otoki,Marshallovy ostrovy,Marshall Islands
835,Wyspy Salomona,Саламонавы Астравы,Соломонові Острови,Соломоновы Острова,Соломонови острови,Salomonovi otoki,Šalomounovy ostrovy,Solomon Islands
836,Katania,Катанія,Катанія,Катания,Катания,Catania,Katánie,Catania
837,Bukowina,Букавіна,Буковина,Буковина,Буковина,Bukovina,Bukovina,Bukovina
838,Grenoble,Грэнобль,Гренобль,Гренобль,Гренобъл,Grenoble,Grenoble,Grenoble
839,Espoo,Эспа,Еспоо,Эспоо,Еспоо,Espoo,Espoo,Espoo
840,Bydgoszcz,Быдгашч,Бидгощ,Быдгощ,Бидгошч,Bydgoszcz,Bydhošť,Bydgoszcz
841,Efez,Эфес,Ефес,Эфес,Ефес,Efez,Efez,Ephesus
842,Uruk,Урук,Урук,Урук,Урук,Uruk,Uruk,Uruk
843,Ur,Ур,Ур,Ур,Ур,Ur,Ur,Ur
844,Pittsburgh,Пітсбург,Піттсбург,Питтсбург,Питсбърг,Pittsburgh,Pittsburgh,Pittsburgh
845,Lagasz,Лагаш,Лагаш,Лагаш,Лагаш,Lagaš,Lagaš,Lagash
846,Concepción,Кансепсьён,Консепсьйон,Консепсьон,Консепсион,Concepción,Concepción,Concepción
847,Limoges,Лімож,Лімож,Лимож,Лимож,Limoges,Limoges,Limoges
848,Milet,Мілет,Мілет,Милет,Милет,Milet,Milét,Miletus
849,Państwo Inków,Імперыя Інкаў,Інки,Империя инков,Империя на инките,Inkovski imperij,Incká říše,Inca Empire
850,Saint Louis,Сент-Луіс,Сент-Луїс,Сент-Луис,Сейнт Луис,St. Louis,St. Louis,St. Louis
851,Królestwo Węgier,Каралеўства Венгрыя,Угорське королівство,Королевство Венгрия,Кралство Унгария,Ogrska,Uhersko,Kingdom of Hungary
852,Podolsk,Падольск,Подольськ,Подольск,Подолск,Podolsk,Podolsk,Podolsk
853,Racibórz,Рацібуж,Ратибор,Рацибуж,Рачибуж,Racibórz,Ratiboř,Racibórz
854,Bardejów,Бардзеёў,Бардіїв,Бардеёв,Бардейов,Bardejov,Bardejov,Bardejov
855,Poprad,Попрад,Попрад,Попрад,Попрад,Poprad,Poprad,Poprad
856,Koszyce,Кошыцы,Кошиці,Кошице,Кошице,Košice,Košice,Košice
857,Trnawa,Трнава,Трнава,Трнава,Търнава,Trnava,Trnava,Tarnava
858,Bengazi,Бенгазі,Бенгазі,Бенгази,Бенгази,Bengazi,Benghází,Benghazi
859,Czarnobyl,Чарнобыль,Чорнобиль,Чернобыль,Чернобил,Černobil,Černobyl,Chernobyl
860,Lille,Ліль,Лілль,Лилль,Лил,Lille,Lille,Lille
861,Innsbruck,Інсбрук,Інсбрук,Инсбрук,Инсбрук,Innsbruck,Innsbruck,Innsbruck
862,Garmisch-Partenkirchen,Гарміш-Партэнкірхен,Гарміш-Партенкірхен,Гармиш-Партенкирхен,Гармиш-Партенкирхен,Garmisch-Partenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen
863,Spira,Шпаер,Шпаєр,Шпайер,Шпайер,Speyer,Špýr,Speyer
864,Metz,Мец,Мец,Мец,Мец,Metz,Mety,Metz
865,Indianapolis,Індыянапаліс,Індіанаполіс,Индианаполис,Индианаполис,Indianapolis,Indianapolis,Indianapolis
866,Sendai,Сэндай,Сендай,Сендай,Сендай,Sendai,Sendai,Sendai
867,Elektorat Saksonii,Курфюрства Саксонія,Курфюрство Саксонія,Саксония,Курфюрство Саксония,Saška,Saské kurfiřtství,Electorate of Saxony
868,Bourges,Бурж,Бурж,Бурж,Бурж,Bourges,Bourges,Bourges
869,Murcja,Мурсія,Мурсія,Мурсия,Мурсия,Murcia,Murcia,Murcia
870,Valladolid,Вальядалід,Вальядолід,Вальядолид,Валядолид,Valladolid,Valladolid,Valladolid
871,Wanadzor,Ванадзор,Ванадзор,Ванадзор,Ванадзор,Vanadzor,Vanadzor,Vanadzor
872,Nancy,Нансі,Нансі,Нанси,Нанси,Nancy,Nancy,Nancy
873,Herat,Герат,Герат,Герат,Херат,Herat,Herát,Herat
874,Gandża,Гянджа,Гянджа,Гянджа,Ганджа,Gandža,Gjandža,Ganja
875,Eisenstadt,Айзенштат,Айзенштадт,Айзенштадт,Айзенщат,Železno,Eisenstadt,Eisenstadt
876,Split,Спліт,Спліт,Сплит,Сплит,Split,Split,Split
877,Hanga Roa,Ханга-Роа,Ханга-Роа,Анга-Роа,Ханга Роа,Hanga Roa,Hanga Roa,Hanga Roa
878,Lejda,Лейдэн,Лейден,Лейден,Лайден,Leiden,Leiden,Leiden
879,Lewocza,Левача,Левоча,Левоча,Левоча,Levoča,Levoča,Levoča
880,Winchester,Уінчэстэр,Вінчестер,Уинчестер,Уинчестър,Winchester,Winchester,Winchester
881,Góry Krymskie,Крымскія горы,Кримські гори,Крымские горы,Кримски планини,Krimsko gorovje,Krymské hory,Crimean Mountains
882,Teodozja,Феадосія,Феодосія,Феодосия,Феодосия,Feodozija,Feodosija,Feodosia
883,Bolzano,Бальцана,Больцано,Больцано,Болцано,Bolzano,Bolzano,Bolzano
884,Gori,Горы,Горі,Гори,Гори,Gori,Gori,Gori
885,Batumi,Батумі,Батумі,Батуми,Батуми,Batumi,Batumi,Batumi
886,Oriechowo-Zujewo,Арэхава-Зуева,Орєхово-Зуєво,Орехово-Зуево,Орехово-Зуево,Orehovo-Zujevo,Orechovo-Zujevo,Orekhovo-Zuyevo
887,Santiago de Compostela,Сант’яга-дэ-Кампастэла,Сантьяго-де-Компостела,Сантьяго-де-Компостела,Сантяго де Компостела,Santiago de Compostela,Santiago de Compostela,Santiago de Compostela
888,Strumica,Струміца,Струмиця,Струмица,Струмица,Strumica,Strumica,Strumica
889,Orlean,Арлеан,Орлеан,Орлеан,Орлеан,Orléans,Orléans,Orléans
890,Newcastle upon Tyne,Ньюкасл-эпон-Тайн,Ньюкасл-апон-Тайн,Ньюкасл-апон-Тайн,Нюкасъл ъпон Тайн,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne
891,Sudan Południowy,Паўднёвы Судан,Південний Судан,Южный Судан,Южен Судан,Južni Sudan,Jižní Súdán,South Sudan
892,Dżuba,Джуба,Джуба,Джуба,Джуба,Džuba,Džuba,Juba
893,Austin,Остын,Остін,Остин,Остин,Austin,Austin,Austin
894,Montgomery,Мантгомеры,Монтгомері,Монтгомери,Монтгомъри,Montgomery,Montgomery,Montgomery
895,Oklahoma City,Аклахома-Сіці,Оклахома-Сіті,Оклахома-Сити,Оклахома Сити,Oklahoma City,Oklahoma City,Oklahoma City
896,Honolulu,Ганалулу,Гонолулу,Гонолулу,Хонолулу,Honolulu,Honolulu,Honolulu
897,Nestor Machno,Нестар Іванавіч Махно,Махно Нестор Іванович,"Махно, Нестор Иванович",Нестор Махно,Nestor Ivanovič Mahno,Nestor Machno,Nestor Makhno
898,Parma,Парма,Парма,Парма,Парма,Parma,Parma,Parma
899,Bolonia,Балоння,Болонья,Болонья,Болоня,Bologna,Bologna,Bologna
900,Birmingham,Бірмінгем,Бірмінгем,Бирмингем,Бирмингам,Birmingham,Birmingham,Birmingham
901,Połtawa,Палтава,Полтава,Полтава,Полтава,Poltava,Poltava,Poltava
902,Nantes,Нант,Нант,Нант,Нант,Nantes,Nantes,Nantes
903,Kilonia,Кіль,Кіль,Киль,Кийл,Kiel,Kiel,Kiel
904,Naumburg,Наўмбург,Наумбург,Наумбург,Наумбург,Naumburg,Naumburg,Naumburg
905,Münster,Мюнстэр,Мюнстер,Мюнстер,Мюнстер,Münster,Münster,Münster
906,Augsburg,Аўгсбург,Аугсбург,Аугсбург,Аугсбург,Augsburg,Augsburg,Augsburg
907,Paderborn,Падэрборн,Падерборн,Падерборн,Падерборн,Paderborn,Paderborn,Paderborn
908,Aszkelon,Ашкелон,Ашкелон,Ашкелон,Ашкелон,Aškelon,Aškelon,Ashkelon
909,Abadan,Абадан,Абадан,Абадан,Абадан,Abadan,Ábádán,Abadan
910,Mandalaj,Мандалай,Мандалай,Мандалай,Мандалей,Mandalaj,Mandalaj,Mandalay
911,Mantua,Мантуя,Мантуя,Мантуя,Мантуа,Mantova,Mantova,Mantua
912,Kordoba,Кордава,Кордова,Кордова,Кордоба,Kordova,Córdoba,Córdoba
913,Bengaluru,Бангалор,Бенгалуру,Бангалор,Бенгалуру,Bangalore,Bengalúr,Bangalore
914,Ahmadabad,Ахмедабад,Ахмадабад,Ахмадабад,Ахмедабад,Ahmedabad,Ahmadábád,Ahmedabad
915,Bergamo,Бергама,Бергамо,Бергамо,Бергамо,Bergamo,Bergamo,Bergamo
916,Brescia,Брэшыя,Брешія,Брешиа,Бреша,Brescia,Brescia,Brescia
917,Limerick,Лімерык,Лімерик,Лимерик,Лимерик,Limerick,Limerick,Limerick
918,Konstancja,Констанц,Констанц,Констанц,Констанц,Konstanca,Kostnice,Konstanz
919,Uxmal,Ушмаль,Ушмаль,Ушмаль,Ушмал,Uxmal,Uxmal,Uxmal
920,Mendoza,Мендоса,Мендоса,Мендоса,Мендоса,Mendoza,Mendoza,Mendoza
921,Chociebuż,Котбус,Котбус,Котбус,Котбус,Cottbus,Chotěbuz,Cottbus
922,Besançon,Безансон,Безансон,Безансон,Безансон,Besançon,Besançon,Besançon
923,Hawr,Гаўр,Гавр,Гавр,Хавър,Le Havre,Le Havre,Le Havre
924,Cherbourg-Octeville,Шэрбур-Актэвіль,Шербур-Октевіль,Шербур-Октевиль,Шербур-Октевил,Cherbourg-Octeville,Cherbourg-Octeville,Cherbourg-Octeville
925,Malaga,Малага,Малага,Малага,Малага,Málaga,Málaga,Málaga
926,Alicante,Алікантэ,Аліканте,Аликанте,Аликанте,Alicante,Alicante,Alicante
927,Leeds,Лідс,Лідс,Лидс,Лийдс,Leeds,Leeds,Leeds
928,Arles,Арль,Арль,Арль,Арл,Arles,Arles,Arles
929,Grasse,Грас,Грасс,Грас,Грас,Grasse,Grasse,Grasse
930,Dijon,Дыжон,Діжон,Дижон,Дижон,Dijon,Dijon,Dijon
931,Awinion,Авіньён,Авіньйон,Авиньон,Авиньон,Avignon,Avignon,Avignon
932,York,Ёрк,Йорк,Йорк,Йорк,York,York,York
933,Dallas,Далас,Даллас,Даллас,Далас,Dallas,Dallas,Dallas
934,Pecz,Печ,Печ,Печ,Печ,Pécs,Pécs,Pécs
935,Eger,Эгер,Егер,Эгер,Егер,Eger,Eger,Eger
936,Modena,Модэна,Модена,Модена,Модена,Modena,Modena,Modena
937,Tarent,Таранта,Таранто,Таранто,Таранто,Taranto,Taranto,Taranto
938,Ferrara,Ферара,Феррара,Феррара,Ферара,Ferrara,Ferrara,Ferrara
939,Dżudda,Джыда,Джидда,Джидда,Джида,Džeda,Džidda,Jeddah
940,Klaksvík,Клаксвуйк,Клаксвік,Клаксвуйк,Клаксвуйк,Klaksvík,Klaksvík,Klaksvík
941,Bamberg,Бамберг,Бамберг,Бамберг,Бамберг,Bamberg,Bamberk,Bamberg
942,Poitiers,Пуацье,Пуатьє,Пуатье,Поатие,Poitiers,Poitiers,Poitiers
943,Fort Worth,Форт-Уэрт,Форт-Верт,Форт-Уэрт,Форт Уърт,Fort Worth,Fort Worth,Fort Worth
944,Pilzno,Пльзень,Пльзень,Пльзень,Пилзен,Plzen,Plzeň,Plzeň
945,Vichy,Вішы,Віші,Виши,Виши,Vichy,Vichy,Vichy
946,Burgas,Бургас,Бургас,Бургас,Бургас,Burgas,Burgas,Burgas
947,Dover,Дуўр,Дувр,Дувр,Дувър,Dover,Dover,Dover
948,Struga,Струга,Струга,Струга,Струга,Struga,Struga,Struga
949,Annecy,Ансі,Аннесі,Анси,Анси,Annecy,Annecy,Annecy
950,Państwo Kuszanów,Кушанскае царства,Кушанське царство,Кушанское царство,Кушанска империя,Kušansko cesarstvo,Kušánská říše,Kushan Empire
951,Królestwo Greko-Baktryjskie,Грэка-Бактрыйскае царства,Греко-Бактрійське царство,Греко-Бактрийское царство,Гръко-бактрийско царство,Grško-baktrijsko kraljestvo,Řecko-baktrijské království,Greco-Bactrian Kingdom
952,Bregencja,Брэгенц,Брегенц,Брегенц,Брегенц,Bregenz,Bregenz,Bregenz
953,Bari,Бары,Барі,Бари,Бари,Bari,Bari,Bari
954,Cagliari,Кальяры,Кальярі,Кальяри,Каляри,Cagliari,Cagliari,Cagliari
955,Minneapolis,Мінеапаліс,Міннеаполіс,Миннеаполис,Минеаполис,Minneapolis,Minneapolis,Minneapolis
956,Kutaisi,Кутаісі,Кутаїсі,Кутаиси,Кутаиси,Kutaisi,Kutaisi,Kutaisi
957,Mccheta,Мцхета,Мцхета,Мцхета,Мцхета,Mcheta,Mccheta,Mtskheta
958,Zugdidi,Зугдыды,Зугдіді,Зугдиди,Зугдиди,Zugdidi,Zugdidi,Zugdidi
959,Cambridge,Кембрыдж,Кембридж,Кембридж,Кеймбридж,Cambridge,Cambridge,Cambridge
960,Saint-Lô,Сен-Ло,Сен-Ло,Сен-Ло,Сен Ло,Saint-Lô,Saint-Lô,Saint-Lô
961,Nankin,Нанкін,Нанкін,Нанкин,Нанкин,Nandžing,Nanking,Nanjing
962,Amiens,Ам’ен,Ам'єн,Амьен,Амиен,Amiens,Amiens,Amiens
963,Eu,Э,Е,Э,Йо,Eu,Eu,Eu
964,Melun,Мелён,Мелен,Мелён,Мелюн,Melun,Melun,Melun
965,Verdun,Вердэн,Верден,Верден,Вердюн,Verdun,Verdun,Verdun
966,Biarritz,Біярыц,Біарриц,Биарриц,Биариц,Biarritz,Biarritz,Biarritz
967,Stargard,Старгард,Старгард,Старгард,Старгард,Stargard,Stargard,Stargard
968,Székesfehérvár,Секешфехервар,Секешфегервар,Секешфехервар,Секешфехервар,Székesfehérvár,Székesfehérvár,Székesfehérvár
969,Angers,Анжэ,Анже,Анже,Анже,Angers,Angers,Angers
970,Nîmes,Нім,Нім,Ним,Ним,Nîmes,Nîmes,Nîmes
971,Dunkierka,Дзюнкерк,Дюнкерк,Дюнкерк,Дюнкерк,Dunkerque,Dunkerk,Dunkirk
972,Clermont-Ferrand,Клермон-Феран,Клермон-Ферран,Клермон-Ферран,Клермон-Феран,Clermont-Ferrand,Clermont-Ferrand,Clermont-Ferrand
973,Miluza,Мюлуз,Мюлуз,Мюлуз,Мюлуз,Mulhouse,Mylhúzy,Mulhouse
974,Belfort,Бельфор,Бельфор,Бельфор,Белфор,Belfort,Belfort,Belfort
975,Rennes,Рэн,Ренн,Рен,Рен,Rennes,Rennes,Rennes
976,Blois,Блуа,Блуа,Блуа,Блоа,Blois,Blois,Blois
977,Perpignan,Перпіньян,Перпіньян,Перпиньян,Перпинян,Perpignan,Perpignan,Perpignan
978,Grenada,Гранада,Гранада,Гранада,Гранада,Granada,Granada,Granada
979,Milwaukee,Мілуокі,Мілвокі,Милуоки,Милуоки,Milwaukee,Milwaukee,Milwaukee
980,Caen,Кан,Кан,Кан,Кан,Caen,Caen,Kan
981,Saumur,Самюр,Сомюр,Сомюр,Сомюр,Saumur,Saumur,Saumur
982,Wels,Вельс,Вельс,Вельс,Велс,Wels,Wels,Wels
983,Kassel,Касель,Кассель,Кассель,Касел,Kassel,Kassel,Kassel
984,Sliwen,Слівен,Сливен,Сливен,Сливен,Sliven,Sliven,Sliven
985,Rimini,Рыміні,Ріміні,Римини,Римини,Rimini,Rimini,Rimini
986,Piacenza,П’ячэнца,П'яченца,Пьяченца,Пиаченца,Piacenza,Piacenza,Piacenza
987,Villach,Філах,Філлах,Филлах,Филах,Beljak,Villach,Villach
988,St. Pölten,Санкт-Пёльтэн,Санкт-Пельтен,Санкт-Пёльтен,Санкт Пьолтен,St. Pölten,Sankt Pölten,Sankt Pölten
989,Dornbirn,Дорнбірн,Дорнбірн,Дорнбирн,Дорнбирн,Dornbirn,Dornbirn,Dornbirn
990,Osijek,Осіек,Осієк,Осиек,Осиек,Osijek,Osijek,Osijek
991,Betlejem,Віфлеем,Вифлеєм,Вифлеем,Витлеем,Betlehem,Betlém,Bethlehem
992,Chambéry,Шамберы,Шамбері,Шамбери,Шамбери,Chambéry,Chambéry,Chambéry
993,Częstochowa,Чэнстахова,Ченстохова,Ченстохова,Ченстохова,Čenstohova,Čenstochová,Częstochowa
994,Winterthur,Вінтэртур,Вінтертур,Винтертур,Винтертур,Winterthur,Winterthur,Winterthur
995,Heidelberg,Гайдэльберг,Гайдельберг,Гейдельберг,Хайделберг,Heidelberg,Heidelberg,Heidelberg
996,Stefan Banach,Стэфан Банах,Стефан Банах,"Банах, Стефан",Стефан Банах,Stefan Banach,Stefan Banach,Stefan Banach
997,Teby,Фівы,Фіви,Фивы,Тива,Tebe,Veset,Thebes
998,Opawa,Опава,Опава,Опава,Опава,Opava,Opava,Opava
999,Hildesheim,Гільдэсгайм,Гільдесгайм,Хильдесхайм,Хилдесхайм,Hildesheim,Hildesheim,Hildesheim
1000,Đồng Hới,Дангхоі,Донгхой,Донгхой,Донгхой,Đồng Hới,Dong Hoi,Đồng Hới
1001,Tybinga,Цюбінген,Тюбінген,Тюбинген,Тюбинген,Tübingen,Tübingen,Tübingen
1002,Fryburg Bryzgowijski,Фрайбург,Фрайбург,Фрайбург-им-Брайсгау,Фрайбург,Freiburg im Breisgau,Freiburg im Breisgau,Freiburg im Breisgau
1003,Asuan,Асуан,Асуан,Асуан,Асуан,Asuan,Asuán,Aswan
1004,Salerno,Салерна,Салерно,Салерно,Салерно,Salerno,Salerno,Salerno
1005,Stepanakert,Сцепанакерт,Степанакерт,Степанакерт,Степанакерт,Stepanakert,Stěpanakert,Stepanakert
1006,Carcassonne,Каркасон,Каркассонн,Каркасон,Каркасон,Carcassonne,Carcassonne,Carcassonne
1007,Salamanka,Саламанка,Саламанка,Саламанка,Саламанка,Salamanca,Salamanca,Salamanca
1008,Nanterre,Нантэр,Нантер,Нантер,Нантер,Nanterre,Nanterre,Nanterre
1009,Al-Azizijja,Эль-Азізія,Ель-Азізія,Эль-Азизия,Ал Азизия,Al Azizija,Azízíja,ʽAziziya
1010,Bad Tölz,Бад-Цёльц,Бад-Тельц,Бад-Тёльц,Бад Тьолц,Bad Tölz,Bad Tölz,Bad Tölz
1011,Bayreuth,Байрайт,Байройт,Байройт,Байройт,Bayreuth,Bayreuth,Bayreuth
1012,Memmingen,Мемінген,Меммінген,Мемминген,Меминген,Memmingen,Memmingen,Memmingen
1013,Landshut,Ландсгут,Ландсгут,Ландсхут,Ландсхут,Landshut,Landshut,Landshut
1014,Leuven,Лёвен,Левен,Лёвен,Льовен,Leuven,Lovaň,Leuven
1015,Mons,Монс,Монс,Монс,Монс,Mons,Mons,Mons
1016,Valenciennes,Валансьен,Валансьєнн,Валансьен,Валансиен,Valenciennes,Valenciennes,Valenciennes
1017,Sremski Karlovci,Срэмскі-Карлаўцы,Сремські Карловці,Сремски-Карловци,Сремски Карловци,Sremski Karlovci,Sremski Karlovci,Sremski Karlovci
1018,La Plata,Ла-Плата,Ла-Плата,Ла-Плата,Ла Плата,La Plata,La Plata,Río de la Plata
1019,Mesyna,Месіна,Мессіна,Мессина,Месина,Messina,Messina,Messina
1020,San Salvador de Jujuy,Сан-Сальвадор-дэ-Жужуй,Сан-Сальвадор-де-Жужуй,Сан-Сальвадор-де-Жужуй,Сан Салвадор де Хухуй,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy
1021,Krasław,Краслава,Краслава,Краслава,Краслава,Krāslava,Krāslava,Krāslava
1022,Palma,Пальма-дэ-Мальёрка,Пальма,Пальма,Палма де Майорка,Palma de Mallorca,Palma de Mallorca,Palma de Mallorca
1023,Laon,Лан,Лан,Лан,Лан,Laon,Laon,Laon
1024,Wolfsburg,Вольфсбург,Вольфсбург,Вольфсбург,Волфсбург,Wolfsburg,Wolfsburg,Wolfsburg
1025,Limburg an der Lahn,Лімбург-на-Лане,Лімбург-ан-дер-Лан,Лимбург-ан-дер-Лан,Лимбург ан дер Лан,Limburg ob Lahnu,Limburg an der Lahn,Limburg an der Lahn
1026,Chimki,Хімкі,Хімки,Химки,Химки,Himki,Chimki,Khimki
1027,Bałaszycha,Балашыха,Балашиха,Балашиха,Балашиха,Balašiha,Balašicha,Balashikha
1028,Niepodległe Państwo Chorwackie,Незалежная Дзяржава Харватыя,Незалежна Держава Хорватія,Независимое государство Хорватия,Независима хърватска държава,Neodvisna država Hrvaška,Nezávislý stát Chorvatsko,Independent State of Croatia
1029,Pau,По,По,По,По,Pau,Pau,Po
1030,Księstwo Warszawskie,Герцагства Варшаўскае,Варшавське герцогство,Варшавское герцогство,Варшавско херцогство,Vojvodina Varšava,Varšavské knížectví,Duchy of Warsaw
1031,Ankona,Анкона,Анкона,Анкона,Анкона,Ancona,Ancona,Ancona
1032,Boulogne-sur-Mer,Булонь-сюр-Мэр,Булонь-сюр-Мер,Булонь-сюр-Мер,Булон сюр Мер,Boulogne-sur-Mer,Boulogne-sur-Mer,Boulogne-sur-Mer
1033,A Coruña,Ла-Карунья,Ла-Корунья,Ла-Корунья,Ла Коруня,A Coruña,A Coruña,A Coruña
1034,Ourense,Арэнсэ,Оренсе,Оренсе,Оренсе,Ourense,Ourense,Ourense
1035,Nagano,Нагана,Наґано,Нагано,Нагано,Nagano,Nagano,Nagano Prefecture
1036,Albertville,Альбервіль,Альбервіль,Альбервиль,Албервил,Albertville,Albertville,Albertville
1037,Baltimore,Балтымар,Балтимор,Балтимор,Балтимор,Baltimore,Baltimore,Baltimore
1038,Mariupol,Марыупаль,Маріуполь,Мариуполь,Мариупол,Mariupol,Mariupol,Mariupol
1039,Kadyks,Кадыс,Кадіс,Кадис,Кадис,Cádiz,Cádiz,Cádiz
1040,Narbona,Нарбона,Нарбонн,Нарбон,Нарбон,Narbonne,Narbonne,Narbonne
1041,Huesca,Уэска,Уеска,Уэска,Уеска,Huesca,Huesca,Huesca
1042,Segowia,Сеговія,Сеговія,Сеговия,Сеговия,Segovia,Segovia,Segovia
1043,Almería,Альмерыя,Альмерія,Альмерия,Алмерия,Almeria,Almería,Almería
1044,Karaiby,Карыбскія астравы,Кариби,Карибы,Карибски регион,Karibi,Karibik,Caribbean
1045,Zjednoczona Republika Arabska,Аб’яднаная Арабская Рэспубліка,Об'єднана Арабська Республіка,Объединённая Арабская Республика,Обединена арабска република,Združena arabska republika,Sjednocená arabská republika,United Arab Republic
1046,Rodos,Родас,Родос,Родос,Родос,Rodos,Rhodos,Rhodes
1047,Ostrawa,Острава,Острава,Острава,Острава,Ostrava,Ostrava,Ostrava
1048,Chersonez Taurydzki,Херсанес Таўрычаскі,Херсонес Таврійський,Херсонес Таврический,Херсонес Таврически,Herson,Chersonésos,Chersonesus
1049,Třebíč,Тршэбіч,Тршебич,Тршебич,Тршебич,Třebíč,Třebíč,Třebíč
1050,Ołomuniec,Оламаўц,Оломоуць,Оломоуц,Оломоуц,Olomuc,Olomouc,Olomouc
1051,Quedlinburg,Кведлінбург,Кведлінбург,Кведлинбург,Кведлинбург,Quedlinburg,Quedlinburg,Quedlinburg
1052,Bajonna,Баёна,Байонна,Байонна,Байон,Bayonne,Bayonne,Bayonne
1053,Wagharszapat,Вагаршапат,Вагаршапат,Вагаршапат,Вагаршапат,Ečmiadzin,Vagharšapat,Vagharshapat
1054,San Diego,Сан-Дыега,Сан-Дієго,Сан-Диего,Сан Диего,San Diego,San Diego,San Diego
1055,Longyearbyen,Лонгйір,Лонг'їр,Лонгйир,Лонгирбюен,Longyearbyen,Longyearbyen,Longyearbyen
1056,Tyr,Тыр,Сур,Сур,Тир,Tir,Týr,Tyre
1057,Byblos,Бібл,Бібл,Библ,Библос,Biblos,Byblos,Byblos
1058,Sydon,Сайда,Сайда,Сайда,Сайда,Sidon,Sidón,Sidon
1059,Dubna,Дубна,Дубна,Дубна,Дубна,Dubna,Dubna,Dubna
1060,León,Леон,Леон,Леон,Леон,León,León,Leon
1061,Stary Oskoł,Стары Аскол,Старий Оскол,Старый Оскол,Стари Оскол,Stari Oskol,Staryj Oskol,Stary Oskol
1062,Rybińsk,Рыбінск,Рибинськ,Рыбинск,Рибинск,Ribinsk,Rybinsk,Rybinsk
1063,Daniłow,Данілаў,Данилов,Данилов,Данилов,Danilov,Danilov,Danilov
1064,Lubim,Любім,Любим,Любим,Любим,Ljubim,Ljubim,Lyubim
