,pl,be,uk,ru,bg,sl,cs,en
1281,[???] ma największą sieć dopływów.,[???] мае найбольшую сетку прытокаў.,[???] має найбільшу мережу приток.,[???] имеет самую большую сеть притоков.,[???] има най-голямата мрежа от притоци.,[???] ima največjo mrežo pritokov.,[???] má největší síť přítoků.,The [???] has the largest network of tributaries.
1282,Dalej na południe [???] odwadnia początek północnego kraju.,Далей на поўдзень [???] дзейнічае пачатак паўночнай краіны.,Далі на південь [???] дренує початок північної країни.,Дальше на юг [???] истощает начало северной страны.,По-на юг [???] отводнява началото на северната страна.,Bolj južneje [???] odteka začetek severne države.,Dál na jih odvodňuje [???] začátek severní země.,Farther south the [???] drains the beginning of the north country.
1283,"Chociaż [???] ma przede wszystkim system parlamentarny, prezydent ma pewne znaczące uprawnienia.","Нягледзячы на ​​тое, што [???] мае ў асноўным парламенцкую сістэму, прэзідэнт мае некаторыя прыкметныя паўнамоцтвы.","Хоча [???] має переважно парламентську систему, президент має деякі значні повноваження.","Хотя [???] имеет в основном парламентскую систему, у президента есть некоторые заметные полномочия.","Въпреки че [???] има предимно парламентарна система, президентът има някои забележителни правомощия.","Čeprav ima [???] predvsem parlamentarni sistem, ima predsednik nekaj pomembnih pooblastil.","Ačkoli [???] má primárně parlamentní systém, prezident má některé pozoruhodné pravomoci.","Though [???] has a primarily parliamentary system, the president has some notable powers."
1284,[???] ma doskonałą komunikację i jest uważany za jedno z najbardziej zaawansowanych stowarzyszeń informacyjnych na świecie.,[???] мае выдатныя камунікацыі і лічыцца адным з самых перадавых інфармацыйных таварыстваў у свеце.,[???] має чудові комунікації та вважається одним із найрозвиненіших інформаційних суспільств у світі.,[???] имеет отличные средства связи и считается одним из самых передовых информационных обществ в мире.,[???] има отлични комуникации и се счита за едно от най-напредналите информационни общества в света.,[???] ima odlično komunikacijo in velja za eno najnaprednejših informacijskih družb na svetu.,[???] má vynikající komunikaci a je považována za jednu z nejpokročilejších informačních společností na světě.,"[???] has excellent communications, and is considered one of the most advanced information societies in the world."
1285,[???] posiada miejską sieć kolejową.,[???] мае гарадскую чыгуначную сетку.,[???] має мережу міських залізниць.,[???] есть городская железнодорожная сеть.,[???] има градска железопътна мрежа.,[???] ima mestno železniško omrežje.,[???] má městskou železniční síť.,[???] has an urban rail network.
1286,Tylko [???] zachował sieć tramwajową.,Толькі [???] захавала трамвайную сетку.,Лише [???] зберегла трамвайну мережу.,Только [???] сохранила трамвайную сеть.,Само [???] е запазил трамвайна мрежа.,Samo [???] je ohranilo tramvajsko omrežje.,Pouze [???] si zachovalo tramvajovou síť.,Only [???] has retained a tram network.
1287,Mieszkańcy zdemilitaryzowanych wysp [???] są zwolnieni ze służby wojskowej.,Жыхары дэмілітарызаваных [???] астравоў вызваленыя ад вайсковай службы.,Жителі демілітаризованих [???] островів звільнені від військової служби.,Жители демилитаризованных [???] островов освобождаются от воинской повинности.,Жителите на демилитаризираните [???] острови са освободени от военна служба.,Prebivalci demilitariziranih [???] otokov so oproščeni služenja vojaškega roka.,Obyvatelé demilitarizovaných [???] ostrovů jsou osvobozeni od vojenské služby.,The inhabitants of the demilitarized [???] islands are exempt from military service.
1288,Stosunki z większością krajów z wyjątkiem [???] były dobre.,"Адносіны з большасцю краін, акрамя [???], былі добрымі.","Відносини з більшістю країн, крім [???], були хорошими.","Отношения с большинством стран, кроме [???], были хорошими.",Отношенията с повечето страни с изключение на [???] са добри.,Odnosi z večino držav razen [???] so bili dobri.,Vztahy s většinou zemí kromě [???] byly dobré.,Relations with most countries except [???] have been good.
1289,Relacje z [???] są pokojowe.,Адносіны з [???] мірныя.,Відносини з [???] мирні.,Отношения с [???] мирные.,Отношенията с [???] са мирни.,Odnosi z [???] so mirni.,Vztahy s [???] jsou klidné.,Relations with [???] are peaceful.
1290,[???] jest państwem unitarnym.,[???] — унітарная дзяржава.,[???] є унітарною державою.,[???] является унитарным государством.,[???] е унитарна държава.,[???] je enotna država.,[???] je unitární stát.,[???] is a unitary state.
1291,[???] ma półprezydencki system rządów.,[???] мае паўпрэзідэнцкую сістэму кіравання.,[???] має напівпрезидентську систему правління.,[???] имеет полупрезидентскую систему правления.,[???] има полупрезидентска система на управление.,[???] ima polpredsedniški sistem vlade.,[???] má poloprezidentský systém vlády.,[???] has a semi-presidential system of government.
1292,"Tak więc [???] ma władzę wykonawczą, w której władza jest podzielona między dwóch urzędników: prezydenta, który jest głową państwa i premiera, który jest szefem rządu.","Такім чынам, [???] мае выканаўчую ўладу, дзе ўлада падзелена паміж двума службовымі асобамі: прэзідэнтам, які з'яўляецца кіраўніком дзяржавы, і прэм'ер-міністрам, які з'яўляецца кіраўніком урада.","Таким чином, [???] має виконавчу владу, де влада поділена між двома посадовими особами: президентом, який є главою держави, і прем’єр-міністром, який є главою уряду.","Таким образом, [???] имеет исполнительную власть, где власть разделена между двумя должностными лицами: президентом, который является главой государства, и премьер-министром, который является главой правительства.","По този начин [???] има изпълнителна власт, където властта е разделена между двама служители: президента, който е държавен глава, и министър-председателя, който е глава на правителството.","Tako ima [???] izvršilno vejo oblasti, kjer je oblast razdeljena med dva uradnika: predsednika, ki je vodja države, in predsednika vlade, ki je vodja vlade.","[???] má tedy exekutivu, kde je moc rozdělena mezi dva úředníky: prezidenta, který je hlavou státu, a předsedu vlády, který je hlavou vlády.","Thus, [???] has an executive branch where power is divided between two officials : the President, who is the head of state, and the Prime Minister, who is the head of government."
1293,"[???] posiada system prawny prawa cywilnego, którego podstawą jest prawo skodyfikowane; jednakże orzecznictwo odgrywa znaczącą rolę w rozstrzyganiu sądów.","[???] мае грамадзянска-прававую прававую сістэму, аснову якой складае кадыфікаванае права; аднак судовая практыка адыгрывае значную ролю ў вырашэньні судоў.","[???] має цивільно-правову правову систему, основою якої є кодифіковане право; однак судова практика відіграє значну роль у визначенні судів.","[???] имеет гражданско-правовую правовую систему, основу которой составляет кодифицированное право; однако прецедентное право играет важную роль в решениях судов.","[???] има гражданскоправна правна система, чиято основа е кодифицирано право; съдебната практика обаче играе значителна роля при определянето на съдилищата.","[???] ima civilnopravni pravni sistem, katerega osnova je kodificirano pravo; vendar ima sodna praksa pomembno vlogo pri odločanju sodišč.","[???] má občanskoprávní právní řád, jehož základem je kodifikované právo; při rozhodování soudů však hraje významnou roli judikatura.","[???] has a civil law legal system, the basis of which is codified law; however, case law plays a significant role in the determination of the courts."
1294,"[???] posługuje się systemem prawa cywilnego; to znaczy prawo wynika przede wszystkim z pisemnych statutów; sędziowie nie mają tworzyć prawa, ale jedynie je interpretować (chociaż ilość interpretacji sędziowskiej w niektórych dziedzinach sprawia, że ​​jest to równoznaczne z orzecznictwem).","[???] выкарыстоўвае сістэму грамадзянскага права; гэта значыць, права ўзнікае ў першую чаргу з пісьмовых статутаў; суддзі не павінны ствараць закон, а проста тлумачаць яго (хоць колькасць тлумачэння суддзяў у некаторых галінах робіць яго эквівалентным судоваму праву).","[???] використовує систему цивільного права; тобто право виникає насамперед із писаних статутів; судді мають не створювати закон, а лише тлумачити його (хоча кількість тлумачень суддів у певних сферах робить його еквівалентним судовому праву).","[???] использует систему гражданского права; то есть право возникает прежде всего из писаных законов; судьи должны не создавать закон, а просто толковать его (хотя объем толкования судей в определенных областях делает его эквивалентным прецедентному праву).","[???] използва система за гражданско право; тоест правото произтича предимно от писмени устави; съдиите не трябва да създават закони, а просто да го тълкуват (въпреки че количеството тълкуване на съдия в определени области го прави еквивалентен на съдебната практика).","[???] uporablja civilnopravni sistem; to pomeni, da pravo izhaja predvsem iz zapisanih statutov; sodniki ne smejo sestavljati zakona, temveč ga zgolj razlagati (čeprav je zaradi količine sodnikove razlage na določenih področjih enakovredna sodni praksi).","[???] používá systém občanského práva; to znamená, že právo vzniká především z písemných stanov; soudci nemají zákon vytvářet, ale pouze jej vykládat (ačkoli množství soudcovského výkladu v určitých oblastech z něj činí ekvivalent judikatury).","[???] uses a civil law system; that is, law arises primarily from written statutes; judges are not to make law, but merely to interpret it ( though the amount of judge interpretation in certain areas makes it equivalent to case law )."
1295,"[???] nie uznaje prawa religijnego, ani nie uznaje przekonań religijnych za motywację do wprowadzenia zakazów.","[???] не прызнае рэлігійнае заканадаўства, а таксама не прызнае рэлігійныя перакананні ў якасці матывацыі для прыняцця забаронаў.","[???] не визнає релігійне законодавство, а також не визнає релігійні переконання як мотивацію введення заборон.",[???] не признает религиозный закон и не признает религиозные убеждения в качестве мотива для введения запретов.,"[???] не признава религиозното законодателство, нито признава религиозните вярвания като мотивация за въвеждането на забрани.","[???] ne priznava verskega prava, prav tako ne priznava verskega prepričanja kot motivacije za uveljavitev prepovedi.","[???] neuznává náboženské právo, ani neuznává náboženské přesvědčení jako motivaci pro uzákonění zákazů.","[???] does not recognize religious law, nor does it recognize religious beliefs as a motivation for the enactment of prohibitions."
1296,"W konsekwencji [???] od dawna nie ma ani praw dotyczących bluźnierstwa, ani sodomii (te ostatnie zostały zniesione w 1789 r.).","Як следства, [???] доўгі час не было ні законаў аб блюзнерстве, ні законаў аб садаміі (апошні быў адменены ў 1789 годзе).","Як наслідок, [???] довгий час не було ні законів про богохульство, ні законів про содомію (останній був скасований у 1789 році).","Как следствие, [???] уже давно не имеет ни законов о богохульстве, ни законов о содомии (последние были отменены в 1789 году).","В резултат на това [???] отдавна няма нито закони за богохулството, нито закони за содомията (последните бяха премахнати през 1789 г.).",Posledično [???] že dolgo ni imel niti zakonov o bogokletstvu niti zakonov o sodomiji (slednji so ukinili leta 1789).,"V důsledku toho [???] již dlouho nemá ani zákony o rouhání, ani zákony o sodomii (tato pravidla byla zrušena v roce 1789).","As a consequence, [???] has long had neither blasphemy laws nor sodomy laws ( the latter being abolished in 1789 )."
1297,[???] to także najbardziej bezpośredni przykład poprawy relacji po zakończeniu działań wojennych.,[???] таксама самы прамы прыклад паляпшэння адносін пасля заканчэння ваенных дзеянняў.,[???] також є найпрямішим прикладом покращення відносин після закінчення бойових дій.,[???] также является самым прямым примером улучшения отношений после окончания боевых действий.,[???] е и най-прекият пример за подобряване на отношенията след края на военните действия.,[???] je tudi najbolj neposreden primer izboljšanih odnosov po koncu sovražnosti.,[???] je také nejpřímějším příkladem zlepšení vztahů po skončení nepřátelství.,[???] is also the most direct example of improved relations after the end of hostilities.
1298,"Składa się z sześciu grup wysp, z których największa i najbardziej zaludniona to [???].","Ён складаецца з шасці груп астравоў, самая вялікая і найбольш населеная з якіх [???].","Він складається з шести груп островів, найбільшим і найбільш населеним з яких є [???].","Он состоит из шести групп островов, самый большой и густонаселенный из которых [???].","Състои се от шест групи острови, най-големият и най-населен от които е [???].","Sestavljen je iz šestih skupin otokov, od katerih je največji in najbolj poseljen [???].","Tvoří jej šest skupin ostrovů, z nichž největší a nejlidnatější je [???].","It is made up of six groups of islands, the largest and most populated of which is [???]."
1299,Centrum administracyjne to [???].,Адміністрацыйны цэнтр — [???].,Адміністративний центр — [???].,Административный центр [???].,Административният център е [???].,Administrativno središče je [???].,Administrativní centrum je [???].,The administrive centre is [???].
1300,[???] wywarł duży wpływ na współczesne kino i ma jedną z najbardziej szanowanych branż filmowych na świecie.,[???] аказаў вялікі ўплыў на сучаснае кіно і мае адну з самых паважаных кінаіндустрыі ў свеце.,[???] справила великий вплив на сучасне кінематограф і має одну з найшанованіших кіноіндустрій у світі.,[???] оказал большое влияние на современное кино и является одной из самых уважаемых киноиндустрий в мире.,[???] оказа голямо влияние върху съвременното кино и има една от най-уважаваните филмови индустрии в света.,[???] je imel velik vpliv na sodobno kinematografijo in ima eno najbolj cenjenih filmskih industrij na svetu.,[???] má velký dopad na moderní kinematografii a má jeden nejrespektovanější filmový průmysl na světě.,The [???] has had a large impact on modern cinema and has one the most respected film industries in the world.
1301,"Społeczno-ekonomiczne ideologiczne wytłumaczenie tego jest dość prostackie, że [???] chce zarobić jak najwięcej pieniędzy i dotrzeć do jak największej liczby kupujących bilety.","Сацыяльна-эканамічнае ідэалагічнае тлумачэнне гэтаму палягае ў тым, што [???] хоча зарабіць як мага больш грошай і звярнуцца да як мага большай колькасці пакупнікоў білетаў.","Соціально-економічне ідеологічне пояснення цього полягає в тому, що [???] хоче заробити якомога більше грошей і зацікавити якомога більшу кількість покупців квитків.","Социально-экономическое идеологическое объяснение этого довольно грубое, что [???] хочет заработать как можно больше денег и привлечь как можно больше покупателей билетов.","Социално-икономическото идеологическо обяснение за това е доста глупаво, че [???] иска да направи колкото се може повече пари и да се хареса на възможно най-много купувачи на билети.","Socialno-ekonomska ideološka razlaga za to je, precej nora, da želi [???] zaslužiti čim več denarja in pritegniti čim več kupcev vstopnic.","Socioekonomické ideologické vysvětlení toho je docela hloupé, že [???] chce vydělat co nejvíc peněz a oslovit co nejvíce kupců vstupenek.","The socio-economic ideological explanation for this is, quite crassly, that [???] wants to make as much money and appeal to as many ticket-buyers as possible."
1302,[???] to kraj z wieloma odrębnymi grupami kulturowymi i językowymi.,[???] — краіна са шматлікімі асобнымі культурнымі і моўнымі групамі.,[???] – це країна з численними різними культурними та мовними групами.,[???] - страна с многочисленными различными культурными и языковыми группами.,[???] е страна с множество различни културни и езикови групи.,[???] je država s številnimi različnimi kulturnimi in jezikovnimi skupinami.,[???] je země s mnoha odlišnými kulturními a jazykovými skupinami.,[???] is a country with numerous distinct cultural and linguistic groups.
1303,[???] ma około 350 000 nazwisk.,[???] мае каля 350 000 прозвішчаў.,[???] має близько 350 000 прізвищ.,[???] имеет около 350 000 фамилий.,[???] има около 350 000 фамилни имена.,[???] ima okoli 350.000 priimkov.,[???] má kolem 350 000 příjmení.,"[???] has around 350,000 surnames."
1304,Nowo zunifikowany [???] przyjął lirę na podobnej podstawie w 1862 roku.,Нядаўна аб'яднаная [???] прыняла ліру на аналагічнай аснове ў 1862 годзе.,У 1862 році нещодавно уніфікована [???] прийняла ліру на аналогічній основі.,Недавно объединенный [???] принял лиру на аналогичной основе в 1862 году.,Новообединеното [???] приема лирата на подобна основа през 1862 г.,Na novo združeni [???] je leta 1862 sprejel liro na podobni podlagi.,Nově sjednocený [???] přijal liru na podobném základě v roce 1862.,Newly unified [???] adopted the lira on a similar basis in 1862.
1305,"W obecnym (od końca 2007 r. do dziś) otoczeniu makroekonomicznym, spowolnienie tempa obiegu pieniądza skłoniło [???] banki centralne do realizacji różnych nowych i radykalnych polityk w celu wytworzenia bodźców ekonomicznych.",У цяперашніх (з канца 2007 г. па сённяшні дзень) макраэканамічных умовах запаволенне хуткасці абарачэння грошай прымусіла [???] цэнтральных банкіраў праводзіць мноства новых і да некаторых радыкальных палітыкаў для стымулявання эканомікі.,У нинішньому (з кінця 2007 року по сьогодні) макроекономічному середовищі уповільнення швидкості обігу грошей спонукало [???] центральних банків проводити низку нових і до деяких радикальних політик для стимулювання економіки.,В текущей (с конца 2007 г. по сегодняшний день) макроэкономической среде замедление скорости обращения денег побудило [???] руководителей центральных банков проводить различные новые и некоторые радикальные меры для создания экономических стимулов.,"В настоящата (от края на 2007 г. до днес) макроикономическа среда, забавянето на скоростта на парите накара [???] централните банкери да следват различни нови и до някои радикални политики за създаване на икономически стимули.",V sedanjem (od konca leta 2007 do danes) makroekonomskem okolju je upočasnjena hitrost denarja spodbudila [???] centralne bankirje k izvajanju različnih novih in do nekaterih radikalnih politik za ustvarjanje gospodarskih spodbud.,"V současném makroekonomickém prostředí (od konce roku 2007 do dneška) přimělo zpomalení rychlosti peněz [???] centrální bankéře k tomu, aby prováděli řadu nových, a do jisté míry radikálních politik, aby vytvořili ekonomický stimul.","In the current ( late 2007 to today ) macro-economic environment, the slowing velocity of money has induced [???] central bankers to pursue a variety of new, and to some radical, policies to produce economic stimulus."
1306,Idea niezależnego [???] ma swoje korzenie w romantycznym nacjonalizmie XIX wieku.,Ідэя незалежнасці [???] сягае каранямі ў рамантычным нацыяналізме 19 ст.,Ідея незалежної [???] сягає корінням у романтичний націоналізм 19 століття.,Идея независимого [???] уходит корнями в романтический национализм 19 века.,Идеята за независим [???] се корени в романтичния национализъм на 19-ти век.,Ideja o neodvisnem [???] ima korenine v romantičnem nacionalizmu 19. stoletja.,Myšlenka nezávislého [???] má kořeny v romantickém nacionalismu 19. století.,The idea of an independent [???] findsits root in the romantic nationalism of the 19th century.
1307,"[???] rozwinął znakomitą infrastrukturę transportową portów, kanałów, linii kolejowych i autostrad.","[???] развіла выдатную транспартную інфраструктуру партоў, каналаў, чыгунак і шашэйных дарог.","[???] розвинула чудову транспортну інфраструктуру портів, каналів, залізниць та автомобільних доріг.","[???] развита отличная транспортная инфраструктура портов, каналов, железных и автомобильных дорог.","[???] е разработила отлична транспортна инфраструктура от пристанища, канали, железопътни и магистрални пътища.","[???] je razvila odlično prometno infrastrukturo pristanišč, kanalov, železnic in avtocest.","[???] vyvinula vynikající dopravní infrastrukturu přístavů, kanálů, železnic a dálnic.","[???] has developed an excellent transportation infrastructure of ports, canals, railways and highways."
1308,"Wyobraź sobie, że [???] ma wybory w lokalizacji swojej stolicy.","Уявіце, што [???] праводзяць выбары ў месцы сваёй сталіцы.","Уявіть собі, що [???] проводить вибори у своїй столиці.","Представьте, что [???] проводит выборы в столице.","Представете си, че [???] провежда избори на мястото на столицата си.","Predstavljajte si, da [???] ima volitve na lokaciji svojega glavnega mesta.","Představte si, že [???] má volby o umístění svého hlavního města.",Imagine that [???] is having an election on the location ofits capital.
1309,"[???] to popularna miejscowość turystyczna; Każdego roku pałac odwiedza 300 000 osób, a około 11 milionów ludzi odwiedza las [ potrzebne źródło ].",[???] з'яўляецца папулярным турыстычным месцам; кожны год 300 000 чалавек наведваюць палац і каля 11 мільёнаў чалавек наведваюць лес [цытата патрэбна].,[???] є популярним туристичним місцем; щороку 300 000 людей відвідують палац і близько 11 мільйонів людей відвідують ліс.,"[???] - популярное туристическое направление; каждый год дворец посещают 300 000 человек, а лес посещают около 11 миллионов человек.",[???] е популярна туристическа дестинация; всяка година 300 000 души посещават двореца и около 11 милиона души посещават гората [необходим цитат].,[???] je priljubljena turistična destinacija; vsako leto obišče palačo 300.000 ljudi in približno 11 milijonov ljudi obišče gozd [potreben citiranje].,[???] je oblíbenou turistickou destinací; každý rok navštíví palác 300 000 lidí a asi 11 milionů lidí navštíví les [pochvalná zmínka potřebovaný].,"[???] is a popular tourist destination; each year, 300,000 people visit the palace and about 11 million people visit the forest [ citation needed ]."
1310,"To [???] jest wypełnione bezprawiem na ulicach, począwszy od nastolatków wjeżdżających samochodami na ludzi po strażaków na stacji, którzy ustawiają swojego „mechanicznego psa” do polowania na różne zwierzęta po ich zapachu dla prostej i groteskowej przyjemności patrzenia, jak umierają.","Гэта [???] напоўнена бязмежжам на вуліцах, пачынаючы ад падлеткаў, якія наязджаюць на людзей на машынах, да пажарных на станцыі, якія прымушаюць сваіх «механічных сабак» паляваць на розных жывёл па іх паху дзеля простага і гратэскнага задавальнення назіраць, як яны паміраюць.","Це [???] сповнене беззаконня на вулицях, починаючи від підлітків, які врізаються автомобілями в людей, до пожежників на станції, які ставлять своїх «механічних собак» полювати на різних тварин за їхнім запахом заради простого та гротескного задоволення спостерігати, як вони вмирають.","Это [???] наполнено беззаконием на улицах, от подростков, врезающихся машинами в людей, до пожарных на станции, которые пускают свою «механическую собаку», чтобы охотиться на различных животных по их запаху ради простого и гротескного удовольствия наблюдать, как они умирают.","Това [???] е изпълнено с беззаконие по улиците, вариращо от тийнейджъри, които се блъскат с коли в хора, до пожарникари на гара, които настройват своите „механични хрътки“ да ловуват различни животни по миризмата им за простото и гротескно удоволствие да ги гледате как умират.","To [???] je polno brezpravja na ulicah, od najstnikov, ki trčijo z avtomobili v ljudi, do gasilcev na postaji, ki svoje 'mehanične pse' nastavijo, da lovijo različne živali po njihovem vonju zaradi preprostega in grotesknega užitka, ko jih gledajo, kako umirajo.","Toto [???] je plné bezpráví v ulicích od teenagerů, kteří narážejí auty do lidí, až po hasiče na stanici, kteří nastaví svého „mechanického ohaře“ na lov různých zvířat podle jejich pachu pro prostý a groteskní požitek z pohledu na jejich smrt.",This [???] is filled with lawlessness in the streets ranging from teenagers crashing cars into people to firemen at a station who settheir ' mechanical hound ' to hunt various animals bytheir scent for the simple and grotesque pleasure of watching them die.
1311,"Jako główne centrum handlu międzynarodowego [???] jest miastem wielokulturowym, zamieszkałym przez ludzi 180 narodowości.","Як буйны цэнтр міжнароднай гандлю [???] з'яўляецца шматкультурным горадам, дзе жывуць людзі 180 нацыянальнасцей.","Як великий центр міжнародної торгівлі, [???] є багатокультурним містом, де проживають люди 180 національностей.","Будучи крупным центром международной торговли, [???] является мультикультурным городом, в котором проживают представители 180 национальностей.","Като основен център на международната търговия, [???] е мултикултурен град, дом на хора от 180 националности.","Kot glavno središče mednarodne trgovine je [???] večkulturno mesto, kjer živijo ljudje 180 narodnosti.","Jako hlavní centrum mezinárodního obchodu je [???] multikulturním městem, kde žijí lidé 180 národností.","As a major center of international commerce, [???] is a multicultural city, home to people of 180 nationalities."
1312,"[???] to barokowy budynek zbudowany w 1730 r., dawniej służący jako więzienie.","[???] — будынак у стылі барока, пабудаваны ў 1730 годзе, раней выкарыстоўваўся як турма.","[???] — будівля в стилі бароко, побудована в 1730 році, раніше використовувалася як в’язниця.","[???] представляет собой здание в стиле барокко, построенное в 1730 году, ранее использовавшееся как тюрьма.","[???] е барокова сграда, построена през 1730 г., използвана преди като затвор.","[???] je baročna stavba, zgrajena leta 1730, ki je bila prej uporabljena kot zapor.","[???] je barokní budova postavená v roce 1730, dříve využívaná jako vězení.","The [???] is a baroque building built in 1730, formerly used as a prison."
1313,Ulice centrum [???] są zwykle zatłoczone samochodami w godzinach szczytu.,Вуліцы цэнтральнага [???] у гадзіну пік звычайна перапоўненыя аўтамабілямі.,Вулиці центрального [???] зазвичай переповнені автомобілями в годину пік.,Улицы центральной [???] обычно забиты автомобилями в час пик.,Улиците на централна [???] обикновено са задръстени с автомобили по време на пиковия час.,Ulice osrednjega [???] so med prometnimi konicami običajno preobremenjene z avtomobili.,Ulice centrálního [???] jsou během dopravní špičky obvykle přeplněné auty.,The streets of central [???] are usually congested with cars during the rush hour.
1314,Jedynie zintegrowany system transportu publicznego [???] jest większy.,Толькі [???] інтэграваная сістэма грамадскага транспарту большая.,Тільки [???] інтегрована система громадського транспорту є більшою.,Только интегрированная система общественного транспорта [???] крупнее.,Само [???] интегрираната система за обществен транспорт е по-голяма.,Večji je le [???] integriran sistem javnega prevoza.,Větší je pouze integrovaný systém veřejné dopravy [???].,Only the [???] integrated public transport system is larger.
1315,[???] ma siedem linii obsługujących centrum miasta i niektóre większe przedmieścia.,"[???] мае сем ліній, якія абслугоўваюць цэнтр горада і некаторыя буйныя прыгарады.","[???] має сім ліній, які обслуговують центр міста та деякі більші передмістя.","У [???] есть семь линий, обслуживающих центр города и некоторые более крупные пригороды.","[???] има седем линии, обслужващи центъра на града и някои по-големи предградия.","[???] ima sedem linij, ki oskrbujejo središče mesta in nekatera večja predmestja.",[???] má sedm linek obsluhujících centrum města a některá větší předměstí.,The [???] has seven lines serving the city centre and some larger suburbs.
1316,"[???] ma 9 linii tramwajowych, przy czym tramwaje przyjeżdżają zwykle co 10 minut.","[???] мае 9 трамвайных ліній, прычым трамваі прыбываюць звычайна кожныя 10 хвілін.","[???] має 9 трамвайних ліній, причому трамваї зазвичай прибувають кожні 10 хвилин.","[???] имеет 9 трамвайных линий, трамваи прибывают обычно каждые 10 минут.","[???] има 9 трамвайни линии, като трамваите пристигат обикновено на всеки 10 минути.","[???] ima 9 tramvajskih prog, pri čemer tramvaji običajno prihajajo vsakih 10 minut.","[???] má 9 tramvajových linek, přičemž tramvaje přijíždějí obvykle každých 10 minut.","[???] has 9 tram lines, with trams arriving usually every 10 minutes."
1317,[???] posiada również sieć nowoczesnych tras rowerowych w całym mieście.,[???] таксама мае сетку сучасных веламаршрутаў па горадзе.,[???] також має мережу сучасних велосипедних маршрутів по всьому місту.,[???] также имеет сеть современных велосипедных маршрутов по всему городу.,[???] също има мрежа от модерни велосипедни маршрути в целия град.,[???] ima tudi mrežo sodobnih kolesarskih poti po mestu.,[???] má také síť moderních cyklostezek po celém městě.,[???] has also a network of modern cycle routes throughout city.
1318,Dziś [???] ma trzecie co do wielkości miejsce wystawiennicze na świecie.,Сёння [???] мае трэцюю па велічыні выставачную пляцоўку ў свеце.,Сьогодні [???] має третій за величиною виставковий майданчик у світі.,Сегодня [???] имеет третью по величине выставочную площадку в мире.,Днес [???] има третият по големина изложбен обект в света.,Danes ima [???] tretje največje razstavišče na svetu.,Dnes má [???] třetí největší výstaviště na světě.,Today [???] has the third-largest exhibition site in the world.
1319,"Chociaż najbardziej znany jest z banków, [???] jest również ośrodkiem dla firm medialnych.","Хоць ён найбольш вядомы сваімі банкамі, [???] таксама з'яўляецца цэнтрам медыякампаній.","Хоча він найбільш відомий своїми банками, [???] також є центром медіа-компаній.","Хотя он наиболее известен своими банками, [???] также является центром медиа-компаний.","Въпреки че е най-известен със своите банки, [???] е и център за медийни компании.","Čeprav je najbolj znan po svojih bankah, je [???] tudi središče medijskih podjetij.","Ačkoli je nejznámější svými bankami, [???] je také centrem mediálních společností.","Although it is best known forits banks, [???] is also a centre for media companies."
1320,[???] jest również na liście z dwoma.,[???] таксама ў спісе з двума.,[???] також у списку з двома.,[???] также находится в списке с двумя.,[???] също е в списъка с две.,[???] je tudi na seznamu z dvema.,[???] je také na seznamu se dvěma.,[???] is also on the list with two.
1321,[???] to także ważna lokalizacja dla internetu.,[???] таксама з'яўляецца важным месцам для Інтэрнэту.,[???] також є важливим місцем для Інтернету.,[???] также является важным местом для Интернета.,[???] също е важно място за интернет.,[???] je tudi pomembna lokacija za internet.,[???] je také důležitým místem pro internet.,[???] is also an important location for the internet.
1322,"[???] jest więc w rzeczywistości miastem bardzo bezpiecznym, co potwierdzają ankiety wśród mieszkańców.","Таму [???] насамрэч вельмі бяспечны горад, што пацвярджаецца апытаннямі сярод жыхароў.","Тому [???] насправді є дуже безпечним містом, що підтверджують опитування серед мешканців.","[???] на самом деле является очень безопасным городом, что подтверждается опросами жителей.","Следователно [???] всъщност е много безопасен град, потвърдено от проучвания сред жителите.","[???] je torej pravzaprav zelo varno mesto, kar potrjujejo ankete med prebivalci.","[???] je tedy ve skutečnosti velmi bezpečné město, což potvrzují průzkumy mezi obyvateli.","[???] is actually therefore a very safe city, corroborated by surveys among the inhabitants."
1323,"[???] jest domem dla przemysłu chemicznego, firm zajmujących się oprogramowaniem i call center.","[???] з'яўляецца домам для хімічнай прамысловасці, праграмнага забеспячэння і колл-цэнтраў.","[???] є домом для хімічної промисловості, розробників програмного забезпечення та кол-центрів.","[???] является домом для химической промышленности, предприятий по производству программного обеспечения и колл-центров.","[???] е дом на химическа промишленост, софтуерни фирми и кол центрове.","[???] je dom kemične industrije, podjetij s programsko opremo in klicnih centrov.","[???] je domovem chemického průmyslu, softwarových podniků a call center.","[???] is home to chemical industries, software businesses and call centers."
