,pl,be,uk,ru,bg,sl,cs
1190,Czarnobylska Elektrownia Jądrowa,Чарнобыльская АЭС,Чорнобильська атомна електростанція,Чернобыльская АЭС,АЕЦ Чернобил,Jedrska elektrarna Černobil,Černobylská jaderná elektrárna
1193,Czarnobyl,Чарнобыль,Чорнобиль,Чернобыль,Чернобил,Černobil,Černobyl
1195,Lille,Ліль,Лілль,Лилль,Лил,Lille,Lille
1196,Innsbruck,Інсбрук,Інсбрук,Инсбрук,Инсбрук,Innsbruck,Innsbruck
1197,Garmisch-Partenkirchen,Гарміш-Партэнкірхен,Гарміш-Партенкірхен,Гармиш-Партенкирхен,Гармиш-Партенкирхен,Garmisch-Partenkirchen,Garmisch-Partenkirchen
1198,Spira,Шпаер,Шпаєр,Шпайер,Шпайер,Speyer,Špýr
1199,Metz,Мец,Мец,Мец,Мец,Metz,Mety
1202,Indianapolis,Індыянапаліс,Індіанаполіс,Индианаполис,Индианаполис,Indianapolis,Indianapolis
1203,Sendai,Сэндай,Сендай,Сендай,Сендай,"Sendai, Mijagi",Sendai
1204,Elektorat Saksonii,Курфюрства Саксонія,Курфюрство Саксонія,Саксония,Курфюрство Саксония,Saška,Saské kurfiřtství
1205,Bourges,Бурж,Бурж,Бурж,Бурж,Bourges,Bourges
1206,Murcja,Мурсія,Мурсія,Мурсия,Мурсия,Murcia,Murcia
1208,Valladolid,Вальядалід,Вальядолід,Вальядолид,Валядолид,Valladolid,Valladolid
1209,Wanadzor,Ванадзор,Ванадзор,Ванадзор,Ванадзор,Vanadzor,Vanadzor
1210,Nancy,Нансі,Нансі,Нанси,Нанси,Nancy,Nancy
1211,Herat,Герат,Герат,Герат,Херат,Herat,Herát
1213,Gandża,Гянджа,Гянджа,Гянджа,Ганджа,Gandža,Gjandža
1214,Eisenstadt,Айзенштат,Айзенштадт,Айзенштадт,Айзенщат,"Železno, Avstrija",Eisenstadt
1216,Split,Спліт,Спліт,Сплит,Сплит,Split,Split
1217,Hanga Roa,Ханга-Роа,Ханга-Роа,Анга-Роа,Ханга Роа,Hanga Roa,Hanga Roa
1221,Lejda,Лейдэн,Лейден,Лейден,Лайден,Leiden,Leiden
1224,Lewocza,Левача,Левоча,Левоча,Левоча,Levoča,Levoča
1225,Winchester,Уінчэстэр,Вінчестер,Уинчестер,Уинчестър,"Winchester, Anglija",Winchester
1227,Góry Krymskie,Крымскія горы,Кримські гори,Крымские горы,Кримски планини,Krimsko gorovje,Krymské hory
1228,Teodozja,Феадосія,Феодосія,Феодосия,Феодосия,Feodozija,Feodosija
1231,Bolzano,Бальцана,Больцано,Больцано,Болцано,Bolzano,Bolzano
1236,Gori,Горы,Горі,Гори,Гори,Gori,Gori
1237,Batumi,Батумі,Батумі,Батуми,Батуми,Batumi,Batumi
1238,Oriechowo-Zujewo,Арэхава-Зуева,Орєхово-Зуєво,Орехово-Зуево,Орехово-Зуево,Orehovo-Zujevo,Orechovo-Zujevo
1240,Santiago de Compostela,Сант’яга-дэ-Кампастэла,Сантьяго-де-Компостела,Сантьяго-де-Компостела,Сантяго де Компостела,Santiago de Compostela,Santiago de Compostela
1242,Strumica,Струміца,Струмиця,Струмица,Струмица,Strumica,Strumica
1244,Orlean,Арлеан,Орлеан,Орлеан,Орлеан,Orléans,Orléans
1258,Newcastle upon Tyne,Ньюкасл-эпон-Тайн,Ньюкасл-апон-Тайн,Ньюкасл-апон-Тайн,Нюкасъл ъпон Тайн,Newcastle upon Tyne,Newcastle upon Tyne
1260,Sudan Południowy,Паўднёвы Судан,Південний Судан,Южный Судан,Южен Судан,Južni Sudan,Jižní Súdán
1261,Dżuba,Джуба,Джуба,Джуба,Джуба,Džuba,Džuba
1262,Austin,Остын,Остін,Остин,Остин,"Austin, Teksas",Austin
1263,Montgomery,Мантгомеры,Монтгомері,Монтгомери,Монтгомъри,"Montgomery, Alabama",Montgomery
1265,Oklahoma City,Аклахома-Сіці,Оклахома-Сіті,Оклахома-Сити,Оклахома Сити,"Oklahoma City, Oklahoma",Oklahoma City
1266,Honolulu,Ганалулу,Гонолулу,Гонолулу,Хонолулу,"Honolulu, Havaji",Honolulu
1267,Nestor Machno,Нестар Іванавіч Махно,Махно Нестор Іванович,"Махно, Нестор Иванович",Нестор Махно,Nestor Ivanovič Mahno,Nestor Machno
1270,Parma,Парма,Парма,Парма,Парма,Parma,Parma
1271,Bolonia,Балоння,Болонья,Болонья,Болоня,Bologna,Bologna
1272,Birmingham,Бірмінгем,Бірмінгем,Бирмингем,Бирмингам,Birmingham,Birmingham
1273,Połtawa,Палтава,Полтава,Полтава,Полтава,Poltava,Poltava
1276,Nantes,Нант,Нант,Нант,Нант,Nantes,Nantes
1277,Kilonia,Кіль,Кіль,Киль,Кийл,Kiel,Kiel
1278,Naumburg,Наўмбург,Наумбург,Наумбург,Наумбург,Naumburg,Naumburg
1280,Münster,Мюнстэр,Мюнстер,Мюнстер,Мюнстер,Münster,Münster
1281,Augsburg,Аўгсбург,Аугсбург,Аугсбург,Аугсбург,Augsburg,Augsburg
1282,Paderborn,Падэрборн,Падерборн,Падерборн,Падерборн,Paderborn,Paderborn
1283,Aszkelon,Ашкелон,Ашкелон,Ашкелон,Ашкелон,Aškelon,Aškelon
1284,Abadan,Абадан,Абадан,Абадан,Абадан,Abadan,Ábádán
1285,Mandalaj,Мандалай,Мандалай,Мандалай,Мандалей,Mandalaj,Mandalaj
1286,Mantua,Мантуя,Мантуя,Мантуя,Мантуа,Mantova,Mantova
1287,Kordoba,Кордава,Кордова,Кордова,Кордоба,Kordova,Córdoba
1290,Bengaluru,Бангалор,Бенгалуру,Бангалор,Бенгалуру,Bangalore,Bengalúr
1291,Ahmadabad,Ахмедабад,Ахмадабад,Ахмадабад,Ахмедабад,Ahmedabad,Ahmadábád
1292,Bergamo,Бергама,Бергамо,Бергамо,Бергамо,Bergamo,Bergamo
1293,Brescia,Брэшыя,Брешія,Брешиа,Бреша,Brescia,Brescia
1296,Limerick,Лімерык,Лімерик,Лимерик,Лимерик,Limerick,Limerick
1298,Konstancja,Констанц,Констанц,Констанц,Констанц,Konstanca,Kostnice
1299,Uxmal,Ушмаль,Ушмаль,Ушмаль,Ушмал,Uxmal,Uxmal
1300,Mendoza,Мендоса,Мендоса,Мендоса,Мендоса,Mendoza,Mendoza
1301,Chociebuż,Котбус,Котбус,Котбус,Котбус,Cottbus,Chotěbuz
1302,Besançon,Безансон,Безансон,Безансон,Безансон,Besançon,Besançon
1303,Hawr,Гаўр,Гавр,Гавр,Хавър,Le Havre,Le Havre
1304,Cherbourg-Octeville,Шэрбур-Актэвіль,Шербур-Октевіль,Шербур-Октевиль,Шербур-Октевил,Cherbourg-Octeville,Cherbourg-Octeville
1306,Malaga,Малага,Малага,Малага,Малага,Málaga,Málaga
1307,Alicante,Алікантэ,Аліканте,Аликанте,Аликанте,Alicante,Alicante
1308,Leeds,Лідс,Лідс,Лидс,Лийдс,Leeds,Leeds
1309,Arles,Арль,Арль,Арль,Арл,Arles,Arles
1310,Grasse,Грас,Грасс,Грас,Грас,Grasse,Grasse
1311,Dijon,Дыжон,Діжон,Дижон,Дижон,Dijon,Dijon
1312,Awinion,Авіньён,Авіньйон,Авиньон,Авиньон,Avignon,Avignon
1313,York,Ёрк,Йорк,Йорк,Йорк,York,York
1314,Dallas,Далас,Даллас,Даллас,Далас,"Dallas, Teksas",Dallas
1315,Pecz,Печ,Печ,Печ,Печ,Pécs,Pécs
1316,Eger,Эгер,Егер,Эгер,Егер,Eger,Eger
1317,Wołodymyr Kłyczko,Уладзімір Уладзіміравіч Клічко,Кличко Володимир Володимирович,"Кличко, Владимир Владимирович",Владимир Кличко,Vladimir Kličko,Vladimir Kličko
1319,Modena,Модэна,Модена,Модена,Модена,Modena,Modena
1321,Tarent,Таранта,Таранто,Таранто,Таранто,Taranto,Taranto
1322,Ferrara,Ферара,Феррара,Феррара,Ферара,Ferrara,Ferrara
1323,Dżudda,Джыда,Джидда,Джидда,Джида,Džeda,Džidda
1326,Klaksvík,Клаксвуйк,Клаксвік,Клаксвуйк,Клаксвуйк,Klaksvík,Klaksvík
1327,Bamberg,Бамберг,Бамберг,Бамберг,Бамберг,Bamberg,Bamberk
1330,Poitiers,Пуацье,Пуатьє,Пуатье,Поатие,Poitiers,Poitiers
1331,Fort Worth,Форт-Уэрт,Форт-Верт,Форт-Уэрт,Форт Уърт,"Fort Worth, Teksas",Fort Worth
1333,Pilzno,Пльзень,Пльзень,Пльзень,Пилзен,Plzen,Plzeň
1334,Vichy,Вішы,Віші,Виши,Виши,Vichy,Vichy
1335,Burgas,Бургас,Бургас,Бургас,Бургас,Burgas,Burgas
1336,Dover,Дуўр,Дувр,Дувр,Дувър,Dover,Dover
1337,Struga,Струга,Струга,Струга,Струга,"Struga, Severna Makedonija",Struga
1338,Annecy,Ансі,Аннесі,Анси,Анси,Annecy,Annecy
1341,Państwo Kuszanów,Кушанскае царства,Кушанське царство,Кушанское царство,Кушанска империя,Kušansko cesarstvo,Kušánská říše
1342,Królestwo Greko-Baktryjskie,Грэка-Бактрыйскае царства,Греко-Бактрійське царство,Греко-Бактрийское царство,Гръко-бактрийско царство,Grško-baktrijsko kraljestvo,Řecko-baktrijské království
1344,Bregencja,Брэгенц,Брегенц,Брегенц,Брегенц,Bregenz,Bregenz
1369,Bari,Бары,Барі,Бари,Бари,Bari,Bari
1370,Cagliari,Кальяры,Кальярі,Кальяри,Каляри,Cagliari,Cagliari
1371,Minneapolis,Мінеапаліс,Міннеаполіс,Миннеаполис,Минеаполис,"Minneapolis, Minnesota",Minneapolis
1377,Lista państw świata według powierzchni,Спіс краін паводле плошчы,Список країн за площею,Список государств и зависимых территорий по площади,Списък на страните по площ,Seznam držav in zunanjih ozemelj po površini,Seznam států světa podle rozlohy
1378,Kutaisi,Кутаісі,Кутаїсі,Кутаиси,Кутаиси,Kutaisi,Kutaisi
1379,Mccheta,Мцхета,Мцхета,Мцхета,Мцхета,Mcheta,Mccheta
1381,Zugdidi,Зугдыды,Зугдіді,Зугдиди,Зугдиди,Zugdidi,Zugdidi
1383,Cambridge,Кембрыдж,Кембридж,Кембридж,Кеймбридж,"Cambridge, Massachusetts",Cambridge
1386,Saint-Lô,Сен-Ло,Сен-Ло,Сен-Ло,Сен Ло,Saint-Lô,Saint-Lô
1387,Nankin,Нанкін,Нанкін,Нанкин,Нанкин,Nandžing,Nanking
1388,Amiens,Ам’ен,Ам'єн,Амьен,Амиен,Amiens,Amiens
1390,Eu,Э,Е,Э,Йо,"Eu, Seine-Maritime",Eu
1391,Melun,Мелён,Мелен,Мелён,Мелюн,Melun,Melun
1392,Miasta we Francji,Гарады Францыі,Міста Франції,Города Франции,Списък на градовете във Франция,Seznam občin Francije,Seznam obcí ve Francii
1393,Verdun,Вердэн,Верден,Верден,Вердюн,"Verdun, Meuse",Verdun
1394,Biarritz,Біярыц,Біарриц,Биарриц,Биариц,Biarritz,Biarritz
1395,Stargard,Старгард,Старгард,Старгард,Старгард,Stargard,Stargard
1396,Székesfehérvár,Секешфехервар,Секешфегервар,Секешфехервар,Секешфехервар,Székesfehérvár,Székesfehérvár
1398,Angers,Анжэ,Анже,Анже,Анже,Angers,Angers
1400,Nîmes,Нім,Нім,Ним,Ним,Nîmes,Nîmes
1401,Dunkierka,Дзюнкерк,Дюнкерк,Дюнкерк,Дюнкерк,Dunkerque,Dunkerk
1402,Clermont-Ferrand,Клермон-Феран,Клермон-Ферран,Клермон-Ферран,Клермон-Феран,Clermont-Ferrand,Clermont-Ferrand
1403,Miluza,Мюлуз,Мюлуз,Мюлуз,Мюлуз,Mulhouse,Mylhúzy
1405,Belfort,Бельфор,Бельфор,Бельфор,Белфор,Belfort,Belfort
1406,Rennes,Рэн,Ренн,Рен,Рен,Rennes,Rennes
1407,Blois,Блуа,Блуа,Блуа,Блоа,Blois,Blois
1408,Perpignan,Перпіньян,Перпіньян,Перпиньян,Перпинян,Perpignan,Perpignan
1409,Grenada,Гранада,Гранада,Гранада,Гранада,Granada,Granada
1410,Milwaukee,Мілуокі,Мілвокі,Милуоки,Милуоки,"Milwaukee, Wisconsin",Milwaukee
1411,Caen,Кан,Кан,Кан,Кан,Caen,Caen
1414,Saumur,Самюр,Сомюр,Сомюр,Сомюр,Saumur,Saumur
1415,Wels,Вельс,Вельс,Вельс,Велс,Wels,Wels
1416,Kassel,Касель,Кассель,Кассель,Касел,Kassel,Kassel
1417,Sliwen,Слівен,Сливен,Сливен,Сливен,Sliven,Sliven
1419,Rimini,Рыміні,Ріміні,Римини,Римини,Rimini,Rimini
1420,Piacenza,П’ячэнца,П'яченца,Пьяченца,Пиаченца,Piacenza,Piacenza
1423,Villach,Філах,Філлах,Филлах,Филах,Beljak,Villach
1424,St. Pölten,Санкт-Пёльтэн,Санкт-Пельтен,Санкт-Пёльтен,Санкт Пьолтен,St. Pölten,Sankt Pölten
1425,Dornbirn,Дорнбірн,Дорнбірн,Дорнбирн,Дорнбирн,Dornbirn,Dornbirn
1426,Osijek,Осіек,Осієк,Осиек,Осиек,Osijek,Osijek
1427,Betlejem,Віфлеем,Вифлеєм,Вифлеем,Витлеем,Betlehem,Betlém
1429,Chambéry,Шамберы,Шамбері,Шамбери,Шамбери,Chambéry,Chambéry
1430,Częstochowa,Чэнстахова,Ченстохова,Ченстохова,Ченстохова,Čenstohova,Čenstochová
1435,Winterthur,Вінтэртур,Вінтертур,Винтертур,Винтертур,Winterthur,Winterthur
1436,Heidelberg,Гайдэльберг,Гайдельберг,Гейдельберг,Хайделберг,Heidelberg,Heidelberg
1437,Stefan Banach,Стэфан Банах,Стефан Банах,"Банах, Стефан",Стефан Банах,Stefan Banach,Stefan Banach
1441,Teby,Фівы,Фіви,Фивы,Тива,"Tebe, Egipt",Veset
1443,Opawa,Опава,Опава,Опава,Опава,Opava,Opava
1444,Hildesheim,Гільдэсгайм,Гільдесгайм,Хильдесхайм,Хилдесхайм,Hildesheim,Hildesheim
1446,Đồng Hới,Дангхоі,Донгхой,Донгхой,Донгхой,Đồng Hới,Dong Hoi
1447,Tybinga,Цюбінген,Тюбінген,Тюбинген,Тюбинген,Tübingen,Tübingen
1448,Fryburg Bryzgowijski,Фрайбург,Фрайбург,Фрайбург-им-Брайсгау,Фрайбург,Freiburg im Breisgau,Freiburg im Breisgau
1449,Asuan,Асуан,Асуан,Асуан,Асуан,Asuan,Asuán
1452,Salerno,Салерна,Салерно,Салерно,Салерно,Salerno,Salerno
1458,Stepanakert,Сцепанакерт,Степанакерт,Степанакерт,Степанакерт,Stepanakert,Stěpanakert
1461,Carcassonne,Каркасон,Каркассонн,Каркасон,Каркасон,Carcassonne,Carcassonne
1462,Salamanka,Саламанка,Саламанка,Саламанка,Саламанка,Salamanca,Salamanca
1463,Nanterre,Нантэр,Нантер,Нантер,Нантер,Nanterre,Nanterre
1465,Al-Azizijja,Эль-Азізія,Ель-Азізія,Эль-Азизия,Ал Азизия,Al Azizija,Azízíja
1467,Bad Tölz,Бад-Цёльц,Бад-Тельц,Бад-Тёльц,Бад Тьолц,Bad Tölz,Bad Tölz
1468,Bayreuth,Байрайт,Байройт,Байройт,Байройт,Bayreuth,Bayreuth
1470,Memmingen,Мемінген,Меммінген,Мемминген,Меминген,Memmingen,Memmingen
1471,Landshut,Ландсгут,Ландсгут,Ландсхут,Ландсхут,Landshut,Landshut
1473,Leuven,Лёвен,Левен,Лёвен,Льовен,Leuven,Lovaň
1475,Mons,Монс,Монс,Монс,Монс,Mons,Mons
1476,Valenciennes,Валансьен,Валансьєнн,Валансьен,Валансиен,Valenciennes,Valenciennes
1477,Sremski Karlovci,Срэмскі-Карлаўцы,Сремські Карловці,Сремски-Карловци,Сремски Карловци,Sremski Karlovci,Sremski Karlovci
1478,La Plata,Ла-Плата,Ла-Плата,Ла-Плата,Ла Плата,La Plata,La Plata
1479,Mesyna,Месіна,Мессіна,Мессина,Месина,Messina,Messina
1480,San Salvador de Jujuy,Сан-Сальвадор-дэ-Жужуй,Сан-Сальвадор-де-Жужуй,Сан-Сальвадор-де-Жужуй,Сан Салвадор де Хухуй,San Salvador de Jujuy,San Salvador de Jujuy
1481,Krasław,Краслава,Краслава,Краслава,Краслава,Krāslava,Krāslava
1482,Palma,Пальма-дэ-Мальёрка,Пальма,Пальма,Палма де Майорка,Palma de Mallorca,Palma de Mallorca
1485,Laon,Лан,Лан,Лан,Лан,Laon,Laon
1486,Wolfsburg,Вольфсбург,Вольфсбург,Вольфсбург,Волфсбург,Wolfsburg,Wolfsburg
1487,Limburg an der Lahn,Лімбург-на-Лане,Лімбург-ан-дер-Лан,Лимбург-ан-дер-Лан,Лимбург ан дер Лан,Limburg ob Lahnu,Limburg an der Lahn
1488,Chimki,Хімкі,Хімки,Химки,Химки,Himki,Chimki
1489,Bałaszycha,Балашыха,Балашиха,Балашиха,Балашиха,Balašiha,Balašicha
1490,Ołeh Błochin,Алег Уладзіміравіч Блахін,Блохін Олег Володимирович,"Блохин, Олег Владимирович",Олег Блохин,Oleg Blohin,Oleg Blochin
1492,Reprezentacja Ukrainy w piłce nożnej mężczyzn,Зборная Украіны па футболе,Збірна України з футболу,Сборная Украины по футболу,Национален отбор по футбол на Украйна,Ukrajinska nogometna reprezentanca,Ukrajinská fotbalová reprezentace
1497,Niepodległe Państwo Chorwackie,Незалежная Дзяржава Харватыя,Незалежна Держава Хорватія,Независимое государство Хорватия,Независима хърватска държава,Neodvisna država Hrvaška,Nezávislý stát Chorvatsko
1498,Pau,По,По,По,По,"Pau, Francija",Pau
1499,Księstwo Warszawskie,Герцагства Варшаўскае,Варшавське герцогство,Варшавское герцогство,Варшавско херцогство,Vojvodina Varšava,Varšavské knížectví
1500,Ankona,Анкона,Анкона,Анкона,Анкона,Ancona,Ancona
1501,Boulogne-sur-Mer,Булонь-сюр-Мэр,Булонь-сюр-Мер,Булонь-сюр-Мер,Булон сюр Мер,Boulogne-sur-Mer,Boulogne-sur-Mer
1504,A Coruña,Ла-Карунья,Ла-Корунья,Ла-Корунья,Ла Коруня,A Coruña,A Coruña
1506,Ourense,Арэнсэ,Оренсе,Оренсе,Оренсе,Ourense,Ourense
1507,Nagano,Нагана,Наґано,Нагано,Нагано,Nagano,Nagano
1508,Albertville,Альбервіль,Альбервіль,Альбервиль,Албервил,Albertville,Albertville
1509,Baltimore,Балтымар,Балтимор,Балтимор,Балтимор,Baltimore,Baltimore
1510,Mariupol,Марыупаль,Маріуполь,Мариуполь,Мариупол,Mariupol,Mariupol
1511,Kadyks,Кадыс,Кадіс,Кадис,Кадис,Cádiz,Cádiz
1512,Narbona,Нарбона,Нарбонн,Нарбон,Нарбон,Narbonne,Narbonne
1513,Huesca,Уэска,Уеска,Уэска,Уеска,Huesca,Huesca
1514,Segowia,Сеговія,Сеговія,Сеговия,Сеговия,Segovia,Segovia
1516,Almería,Альмерыя,Альмерія,Альмерия,Алмерия,Almeria,Almería
1517,Karaiby,Карыбскія астравы,Кариби,Карибы,Карибски регион,Karibi,Karibik
1518,Zjednoczona Republika Arabska,Аб’яднаная Арабская Рэспубліка,Об'єднана Арабська Республіка,Объединённая Арабская Республика,Обединена арабска република,Združena arabska republika,Sjednocená arabská republika
1519,Wierka Serdiuczka,Андрэй Міхайлавіч Данілка,Данилко Андрій Михайлович,"Данилко, Андрей Михайлович",Верка Сердючка,Verka Serdučka,Věrka Serďučka
1522,Rodos,Родас,Родос,Родос,Родос,Rodos,Rhodos
1524,Ostrawa,Острава,Острава,Острава,Острава,Ostrava,Ostrava
1526,Chersonez Taurydzki,Херсанес Таўрычаскі,Херсонес Таврійський,Херсонес Таврический,Херсонес Таврически,Herson,Chersonésos
1527,Miasta w Czechach,Гарады Чэхіі,Міста Чехії,Города Чехии,Списък на градовете в Чехия,Seznam mest na Češkem,Seznam měst v Česku
1528,Třebíč,Тршэбіч,Тршебич,Тршебич,Тршебич,Třebíč,Třebíč
1529,Ołomuniec,Оламаўц,Оломоуць,Оломоуц,Оломоуц,Olomuc,Olomouc
1530,Azerbejdżan w Konkursie Piosenki Eurowizji,Азербайджан на конкурсе песні Еўрабачанне,Азербайджан на пісенному конкурсі Євробачення,Азербайджан на «Евровидении»,Азербайджан в Евровизия,Azerbajdžan na Pesmi Evrovizije,Ázerbájdžán na Eurovision Song Contest
1531,Quedlinburg,Кведлінбург,Кведлінбург,Кведлинбург,Кведлинбург,Quedlinburg,Quedlinburg
1534,Bajonna,Баёна,Байонна,Байонна,Байон,Bayonne,Bayonne
1535,Wagharszapat,Вагаршапат,Вагаршапат,Вагаршапат,Вагаршапат,Ečmiadzin,Vagharšapat
1537,San Diego,Сан-Дыега,Сан-Дієго,Сан-Диего,Сан Диего,San Diego,San Diego
1538,Longyearbyen,Лонгйір,Лонг'їр,Лонгйир,Лонгирбюен,Longyearbyen,Longyearbyen
1540,Tyr,Тыр,Сур,Сур,Тир,"Tir, Libanon",Týr
1541,Byblos,Бібл,Бібл,Библ,Библос,Biblos,Byblos
1542,Sydon,Сайда,Сайда,Сайда,Сайда,Sidon,Sidón
1545,Dubna,Дубна,Дубна,Дубна,Дубна,Dubna,Dubna
1546,León,Леон,Леон,Леон,Леон,"León, Nikaragva",León
1547,Stary Oskoł,Стары Аскол,Старий Оскол,Старый Оскол,Стари Оскол,Stari Oskol,Staryj Oskol
1548,Rybińsk,Рыбінск,Рибинськ,Рыбинск,Рибинск,Ribinsk,Rybinsk
1549,Daniłow,Данілаў,Данилов,Данилов,Данилов,"Danilov, Rusija",Danilov
1550,Lubim,Любім,Любим,Любим,Любим,Ljubim,Ljubim
1551,Myszkin,Мышкін,Мишкін,Мышкин,Мишкин,Miškin,Myškin
1554,Sint-Truiden,Сінт-Тройдэн,Сінт-Трейден,Синт-Трёйден,Синт Тройден,Sint-Truiden,Sint-Truiden
1558,Lugo,Луга,Луго,Луго,Луго,Lugo,Lugo
1560,Pawia,Павія,Павія,Павия,Павия,Pavia,Pavia
1561,Miasta w Holandii,Гарады Нідэрландаў,Міста Нідерландів,Города Нидерландов,Списък на градовете в Нидерландия,Seznam mest na Nizozemskem,Seznam měst v Nizozemsku
1562,Lugano,Лугана,Лугано,Лугано,Лугано,Lugano,Lugano
1566,Anagni,Ананьі,Ананьї,Ананьи,Анани,Anagni,Anagni
1567,Cincinnati,Цынцынаці,Цинциннаті,Цинциннати,Синсинати,Cincinnati,Cincinnati
1569,El Paso,Эль-Паса,Ель-Пасо,Эль-Пасо,Ел Пасо,"El Paso, Teksas",El Paso
1570,San Antonio,Сан-Антоніа,Сан-Антоніо,Сан-Антонио,Сан Антонио,"San Antonio, Teksas",San Antonio
1571,Louisville,Луісвіл,Луїсвілл,Луисвилл,Луисвил,"Louisville, Kentucky",Louisville
1572,Sacramento,Сакрамента,Сакраменто,Сакраменто,Сакраменто,Sacramento,Sacramento
1573,Tulsa,Талса,Талса,Талса,Тълса,"Tulsa, Oklahoma",Tulsa
1574,Colorado Springs,Каларада-Спрынгс,Колорадо-Спрінгс,Колорадо-Спрингс,Колорадо Спрингс,"Colorado Springs, Kolorado",Colorado Springs
1575,Wichita,Уічыта,Вічита,Уичито,Уичита,"Wichita, Kansas",Wichita
1576,Long Beach,Лонг-Біч,Лонг-Біч,Лонг-Бич,Лонг Бийч,"Long Beach, Kalifornija",Long Beach
1577,Fresno,Фрэсна,Фресно,Фресно,Фресно,"Fresno, Kalifornija",Fresno
1578,Oakland,Окленд,Окленд,Окленд,Оукланд,"Oakland, Kalifornija",Oakland
1581,Mandżukuo,Маньчжоу-го,Маньчжурська держава,Маньчжоу-Го,Манджоу-Го,Mandžukuo,Mandžukuo
1582,Carrara,Карара,Каррара,Каррара,Карара,Carrara,Carrara
1583,Beaune,Бон,Бон,Бон,Бон,Beaune,Beaune
1585,Tripoli,Трыпаліс,Триполі,Триполис,Триполи,"Tripoli, Grčija",Tripolis
1587,Chiwa,Хіва,Хіва,Хива,Хива,Hiva,Chiva
1588,Davos,Давос,Давос,Давос,Давос,Davos,Davos
1589,Atlanta,Атланта,Атланта,Атланта,Атланта,"Atlanta, Georgia",Atlanta
1590,Cleveland,Кліўленд,Клівленд,Кливленд,Кливланд,"Cleveland, Ohio",Cleveland
1591,Gary,Гэры,Гері,Гэри,Гери,"Gary, Indiana",Gary
1593,Kaszan,Кашан,Кашан,Кашан,Кашан,Kašan,Kášán
1595,Lubeka,Любек,Любек,Любек,Любек,Lübeck,Lübeck
1596,Bouillon,Буён,Буйон,Буйон,Буйон,Bouillon,Bouillon
1597,Vercelli,Верчэлі,Верчеллі,Верчелли,Верчели,Vercelli,Vercelli
1600,Mohendżo Daro,Махенджа-Дара,Мохенджо-Даро,Мохенджо-Даро,Мохенджо-Даро,Mohendžo-daro,Mohendžodaro
1603,Hameln,Гамельн,Гамельн,Хамельн,Хамелн,Hameln,Hameln
1606,Skradin,Скрадзін,Скрадин,Скрадин,Скрадин,Skradin,Skradin
1608,Cardiff,Кардыф,Кардіфф,Кардифф,Кардиф,Cardiff,Cardiff
1609,"Wyspa Świętej Heleny, Wyspa Wniebowstąpienia i Tristan da Cunha","Астравы Святой Алены, Ушэсця і Трыстан-да-Кунья","Острови Святої Єлени, Вознесіння і Тристан-да-Кунья","Острова Святой Елены, Вознесения и Тристан-да-Кунья","Света Елена, Възнесение и Тристан да Куня","Sveta Helena, Ascension in Tristan da Cunha","Svatá Helena, Ascension a Tristan da Cunha"
1611,Prut,Прут,Прут,Прут,Прут,Prut,Prut
1612,Canterbury,Кентэрберы,Кентербері,Кентербери,Кентърбъри,Canterbury,Canterbury
1613,Kerman,Керман,Керман,Керман,Керман,Kerman,Kermán
1614,Cremona,Крэмона,Кремона,Кремона,Кремона,Cremona,Cremona
1615,Urbino,Урбіна,Урбіно,Урбино,Урбино,Urbino,Urbino
1616,Arezzo,Арэца,Ареццо,Ареццо,Арецо,Arezzo,Arezzo
1618,Krzemieńczuk,Крэмэнчук,Кременчук,Кременчуг,Кременчук,Kremenčuk,Kremenčuk
1621,Kluż-Napoka,Клуж-Напока,Клуж-Напока,Клуж-Напока,Клуж-Напока,Cluj-Napoca,Kluž
1622,Szekszárd,Сексард,Сексард,Сексард,Сексард,Szekszárd,Szekszárd
1623,Nyíregyháza,Ньірэдзьхаза,Ньїредьгаза,Ньиредьхаза,Ниредхаза,Nyíregyháza,Nyíregyháza
1624,Győr,Дзьёр,Дьєр,Дьёр,Дьор,Gjur,Győr
1625,Ingolstadt,Інгальштат,Інгольштадт,Ингольштадт,Инголщат,Ingolstadt,Ingolstadt
1626,Komárom,Комарам,Комаром,Комаром,Комаром,Komárom,Komárom
1627,Bačka Palanka,Бачка-Паланка,Бачка-Паланка,Бачка-Паланка,Бачка паланка,Bačka Palanka,Bačka Palanka
1628,Vukovar,Вукавар,Вуковар,Вуковар,Вуковар,Vukovar,Vukovar
1629,Mohacz,Мохач,Мохач,Мохач,Мохач,Mohač,Moháč
1631,Rusłana Łyżyczko,Руслана,Лижичко Руслана Степанівна,"Лыжичко, Руслана Степановна",Руслана Лижичко,Ruslana,Ruslana
1633,Rabaul,Рабаул,Рабаул,Рабаул,Рабаул,Rabaul,Rabaul
1634,Cahors,Каор,Каор,Каор,Каор,Cahors,Cahors
1637,Portland,Портленд,Портленд,Портленд,Портланд,"Portland, Oregon",Portland
1639,Virginia Beach,Вірджынія-Біч,Вірджинія-Біч,Верджиния-Бич,Вирджиния Бийч,"Virginia Beach, Virginija",Virginia Beach
1641,Kansas City,Канзас-Сіці,Канзас-Сіті,Канзас-Сити,Канзас Сити,"Kansas City, Misuri",Kansas City
1642,Albany,Олбані,Олбані,Олбани,Олбани,"Albany, New York",Albany
1644,Miami,Маямі,Маямі,Майами,Маями,Miami,Miami
